Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Gasparyan M.,Errani S.,58,19.0,959,2525.0,1.0,6.0,7.0,5.0,6.0,1.0,2.0,1.0,Completed,2.62,1.44,2.6,1.48,2.5,1.53,2.44,1.63,2.7,1.65,2.5,1.52
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Gavrilova D.,Hradecka L.,39,53.0,1275,979.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.33,3.69,1.33,3.85,1.28,3.6
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Kvitova P.,Kumkhum L.,7,158.0,3642,349.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.12,6.0,1.12,5.75,1.14,5.5,1.21,5.05,1.21,6.0,1.15,5.33
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Golubic V.,11,149.0,3175,377.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.22,4.0,1.22,4.0,1.22,4.33,1.29,4.05,1.29,4.33,1.24,3.92
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Friedsam A.L.,Dominguez Lino L.,82,100.0,770,643.0,7.0,6.0,2.0,6.0,6.0,1.0,2.0,1.0,Completed,1.28,3.5,1.33,3.1,1.33,3.4,1.3,3.89,1.35,3.89,1.3,3.51
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Gibbs N.,Koukalova K.,106,99.0,609,645.0,6.0,2.0,2.0,6.0,6.0,1.0,2.0,1.0,Completed,1.3,3.4,1.33,3.1,1.33,3.4,1.34,3.56,1.37,3.6,1.32,3.32
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Rybarikova M.,Wickmayer Y.,75,41.0,798,1214.0,3.0,6.0,6.0,3.0,7.0,5.0,2.0,1.0,Completed,2.2,1.61,2.15,1.68,2.2,1.67,2.29,1.7,2.29,1.73,2.19,1.66
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Sakkari M.,Wang Yaf.,170,138.0,322,412.0,6.0,4.0,1.0,6.0,6.0,3.0,2.0,1.0,Completed,2.0,1.72,1.9,1.82,2.0,1.8,2.17,1.78,2.17,1.87,1.99,1.8
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Williams S.,Giorgi C.,1,36.0,9945,1325.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.12,6.0,1.1,6.5,1.11,6.5,1.17,6.02,1.17,7.0,1.13,6.04
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Hsieh S.W.,Ostapenko J.,90,81.0,717,771.0,3.0,6.0,7.0,5.0,6.0,1.0,2.0,1.0,Completed,2.0,1.72,2.1,1.68,2.1,1.73,2.06,1.85,2.15,1.85,2.04,1.76
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Wang Q.,Stephens S.,102,26.0,621,1965.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,7.0,1.1,6.5,1.1,7.0,1.1,6.41,1.15,7.7,1.15,6.47,1.11
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Davis L.,Pavlyuchenkova A.,103,28.0,618,1880.0,1.0,6.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,5.0,1.14,5.75,1.12,5.5,1.14,6.25,1.16,6.33,1.16,5.71,1.13
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Mladenovic K.,Cibulkova D.,30,38.0,1725,1301.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.75,1.4,2.6,1.48,2.62,1.5,2.81,1.5,2.83,1.5,2.67,1.46
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Kasatkina D.,Schmiedlova A.,69,29.0,849,1875.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.1,1.66,2.05,1.7,2.1,1.73,2.12,1.81,2.12,1.91,2.05,1.75
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Nara K.,Dodin O.,94,147.0,680,378.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.53,2.37,1.52,2.4,1.57,2.38,1.53,2.69,1.62,2.69,1.54,2.44
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Putintseva Y.,Wozniacki C.,76,18.0,793,2571.0,1.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,8.0,1.08,7.0,1.08,8.0,1.08,8.43,1.1,9.0,1.1,7.65,1.08
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Radwanska A.,Mchale C.,4,65.0,4670,920.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.02,19.0,1.03,11.0,1.03,12.0,1.03,19.17,1.03,21.0,1.02,14.44
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Han X.,Duque Marino M.,162,77.0,346,792.0,6.0,2.0,2.0,1.0,,,1.0,0.0,Retired,3.25,1.33,3.4,1.3,3.4,1.33,3.31,1.38,3.55,1.38,3.28,1.33
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Vinci R.,Paszek T.,15,126.0,2825,439.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.25,1.55,2.35,1.62,2.25,1.65,2.39,1.65,2.4,1.61,2.29
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Bencic B.,Riske A.,13,88.0,3030,722.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.3,3.4,1.28,3.4,1.3,3.5,1.38,3.35,1.38,3.8,1.31,3.39
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Kuznetsova S.,Hantuchova D.,20,89.0,2475,719.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.16,5.0,1.18,4.5,1.17,5.0,1.19,5.54,1.2,5.54,1.17,4.93
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Falconi I.,Tatishvili A.,74,101.0,807,624.0,6.0,4.0,3.0,6.0,8.0,6.0,2.0,1.0,Completed,1.57,2.25,1.65,2.15,1.62,2.25,1.68,2.32,1.68,2.38,1.63,2.25
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Sasnovich A.,Rodina E.,105,91.0,610,716.0,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,2.0,1.72,2.05,1.72,1.83,1.83,2.05,1.86,2.88,1.86,2.04,1.76
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Bondarenko K.,Tomljanovic A.,92,67.0,708,875.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,1.55,2.35,1.57,2.38,1.57,2.57,1.6,2.7,1.55,2.41
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Niculescu M.,Pereira T.,40,46.0,1245,1132.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.14,5.5,1.15,5.25,1.17,5.0,1.18,5.68,1.18,5.68,1.15,5.24
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Puig M.,Linette M.,52,93.0,990,699.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.25,3.75,1.3,3.4,1.29,3.75,1.3,3.95,1.31,3.95,1.27,3.66
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Konjuh A.,Radwanska U.,87,108.0,730,602.0,0.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,1.72,2.0,1.72,2.05,1.8,2.0,1.84,2.08,1.84,2.1,1.77,2.02
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Babos T.,Watson H.,60,79.0,943,774.0,6.0,7.0,7.0,5.0,7.0,5.0,2.0,1.0,Completed,1.9,1.8,2.05,1.72,2.0,1.8,2.07,1.85,2.11,1.85,2.02,1.77
WTA,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Sharapova M.,Hibino N.,5,56.0,4542,970.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.04,13.0,1.04,9.0,1.05,10.0,1.07,11.04,1.07,13.0,1.05,10.03
