Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Berankis R.,Sijsling I.,85.0,84.0,615.0,619.0,2.0,6.0,6.0,4.0,7.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.4,2.75,1.45,2.7,1.5,2.5,1.61,2.47,1.61,2.75,1.52,2.49
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Brown D.,11.0,90.0,3645.0,584.0,6.0,2.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.08,8.0,1.07,7.5,1.08,7.0,1.1,8.6,1.13,8.6,1.09,7.36
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Schwartzman D.,15.0,59.0,2125.0,789.0,7.0,6.0,7.0,5.0,5.0,7.0,6.0,4.0,,,3.0,1.0,Completed,1.1,7.0,1.11,6.0,1.12,5.5,1.13,7.64,1.15,7.64,1.11,6.33
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Coric B.,31.0,91.0,1195.0,577.0,3.0,6.0,6.0,4.0,7.0,5.0,6.0,4.0,,,3.0,1.0,Completed,1.36,3.0,1.4,2.9,1.36,3.0,1.48,2.86,1.48,3.1,1.4,2.87
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Lacko L.,Gonzalez M.,99.0,98.0,553.0,554.0,4.0,6.0,6.0,2.0,7.0,5.0,6.0,7.0,6.0,1.0,3.0,2.0,Completed,1.33,3.25,1.35,3.1,1.36,3.0,1.35,3.5,1.4,3.5,1.35,3.14
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Matosevic M.,Kudryavtsev A.,81.0,127.0,628.0,439.0,6.0,4.0,6.0,7.0,4.0,6.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,1.36,3.0,1.35,3.1,1.36,3.0,1.33,3.69,1.4,3.69,1.34,3.18
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Istomin D.,46.0,50.0,915.0,850.0,5.0,7.0,6.0,3.0,2.0,6.0,6.0,1.0,6.0,4.0,3.0,2.0,Completed,1.53,2.37,1.62,2.25,1.53,2.38,1.75,2.2,1.75,2.5,1.62,2.26
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Sousa J.,Thompson J.,55.0,274.0,822.0,182.0,6.0,4.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,1.57,2.25,1.65,2.15,1.57,2.25,1.65,2.38,1.7,2.38,1.63,2.24
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Klizan M.,Ito T.,34.0,89.0,1133.0,588.0,7.0,6.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.33,3.25,1.28,3.4,1.29,3.5,1.38,3.39,1.38,3.55,1.31,3.33
ATP,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Berlocq C.,28.0,70.0,1350.0,700.0,6.0,1.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,1.08,8.0,1.08,7.5,1.1,6.5,1.08,10.15,1.11,10.15,1.08,7.51
