Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Gonzalez F.,Rochus O.,11.0,59.0,2870.0,769.0,6.0,3.0,6.0,4.0,3.0,6.0,6.0,1.0,,,3.0,1.0,Completed,1.05,9.0,1.05,8.5,1.07,7.5,1.067,12.0,1.063,7.5,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Kubler J.,24.0,86.0,1405.0,573.0,6.0,1.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.04,10.0,1.04,9.25,1.02,11.0,1.053,13.8,1.05,8.0,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Stepanek R.,39.0,13.0,1015.0,2525.0,2.0,6.0,7.0,6.0,6.0,4.0,3.0,6.0,6.0,4.0,3.0,2.0,Completed,3.0,1.36,3.0,1.37,2.75,1.4,3.21,1.413,2.625,1.444,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Petzschner P.,60.0,81.0,746.0,582.0,0.0,6.0,2.0,6.0,6.0,4.0,6.0,2.0,6.0,2.0,3.0,2.0,Completed,1.4,2.75,1.5,2.45,1.5,2.5,1.5,2.83,1.444,2.625,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Odesnik W.,Kavcic B.,89.0,124.0,559.0,445.0,4.0,6.0,6.0,1.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.4,2.75,1.5,2.45,1.5,2.5,1.455,3.01,1.533,2.375,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,De Bakker T.,7.0,80.0,4510.0,586.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.02,12.0,1.04,9.25,1.02,11.0,1.025,21.0,1.01,15.0,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Golubev A.,Fish M.,131.0,54.0,407.0,835.0,6.0,2.0,1.0,6.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,3.25,1.33,3.4,1.3,3.5,1.286,4.04,1.295,3.0,1.333,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Anderson K.,4.0,148.0,6780.0,347.0,6.0,1.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.01,15.0,1.02,11.5,1.015,13.0,1.017,41.0,1.02,11.0,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Russell M.,5.0,90.0,6580.0,554.0,6.0,4.0,6.0,4.0,3.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.02,12.0,1.05,9.0,1.03,10.0,1.04,17.0,1.01,15.0,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Rufin G.,289.0,173.0,150.0,287.0,6.0,3.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.53,2.37,1.63,2.23,1.533,2.375,1.633,2.46,1.571,2.25,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Luczak P.,2.0,70.0,9310.0,635.0,7.0,6.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,Completed,1.0,21.0,1.01,13.5,1.01,17.0,1.016,43.5,1.01,17.0,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Ball C.,9.0,129.0,3300.0,420.0,6.0,7.0,7.0,6.0,7.0,5.0,6.0,2.0,,,3.0,1.0,Completed,1.03,11.0,1.04,9.25,1.063,8.0,1.045,15.5,1.05,8.0,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Korolev E.,Brands D.,53.0,91.0,860.0,550.0,6.0,2.0,7.0,5.0,7.0,5.0,,,,,3.0,0.0,Completed,1.25,3.75,1.32,3.2,1.3,3.4,1.3,3.99,1.333,3.0,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Haase R.,21.0,390.0,1680.0,95.0,6.0,0.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.11,6.0,1.08,6.84,1.111,6.0,1.16,6.35,1.083,6.5,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Sorensen L.,Lu Y.H.,284.0,101.0,156.0,525.0,6.0,4.0,3.0,6.0,6.0,2.0,6.0,1.0,,,3.0,1.0,Completed,2.75,1.4,2.8,1.4,2.625,1.444,3.11,1.433,2.625,1.444,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Isner J.,Seppi A.,28.0,49.0,1260.0,900.0,6.0,3.0,6.0,3.0,3.0,6.0,5.0,7.0,6.0,4.0,3.0,2.0,Completed,1.4,2.75,1.42,2.75,1.364,3.0,1.488,2.88,1.5,2.5,,,,
ATP,2010,6,Melbourne,Australian Open,2010-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Sergeyev I.,Sela D.,209.0,41.0,225.0,1006.0,6.0,3.0,7.0,6.0,4.0,6.0,7.0,6.0,,,3.0,1.0,Completed,4.0,1.22,3.75,1.25,3.5,1.286,4.3,1.271,3.25,1.286,,,,
