Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Mahut N.,67,46.0,711,958.0,6.0,3.0,7.0,5.0,4.0,6.0,0.0,6.0,6.0,3.0,3.0,2.0,Completed,2.37,1.53,2.4,1.55,2.38,1.53,2.49,1.61,2.38,1.57,2.7,1.61,2.4,1.55
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Huta Galung J.,31,100.0,1255,557.0,6.0,2.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.1,7.0,1.1,6.5,1.1,6.5,1.16,6.17,1.11,6.5,1.16,7.5,1.12,6.12
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Bogomolov A.,16,89.0,1930,611.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Retired,1.66,2.1,1.75,2.05,1.73,2.0,1.75,2.21,1.73,2.1,1.83,2.42,1.73,2.08
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Montanes A.,98,60.0,579,766.0,6.0,1.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,1.36,3.0,1.4,2.9,1.4,2.75,1.34,3.6,1.33,3.25,1.4,3.6,1.35,3.13
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Carreno-Busta P.,38,63.0,1090,739.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,1.3,3.4,1.33,3.2,1.29,3.5,1.33,3.64,1.33,3.25,1.34,3.75,1.31,3.39
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Rosol L.,18,47.0,1810,956.0,6.0,1.0,6.0,7.0,3.0,6.0,7.0,6.0,8.0,6.0,3.0,2.0,Completed,1.8,1.9,1.88,1.88,1.73,2.0,1.91,2.0,1.8,2.0,1.97,2.02,1.84,1.92
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Roger-Vasselin E.,Berlocq C.,40,41.0,1038,1020.0,6.0,4.0,7.0,6.0,6.0,7.0,6.0,2.0,,,3.0,1.0,Completed,1.36,3.0,1.4,2.9,1.36,3.0,1.38,3.31,1.4,2.88,1.46,3.31,1.39,2.93
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Haas T.,58,12.0,801,2435.0,7.0,5.0,5.0,2.0,,,,,,,1.0,0.0,Retired,2.5,1.5,2.5,1.5,2.62,1.44,2.81,1.5,2.75,1.44,2.81,1.58,2.54,1.5
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,Thompson J.,20,319.0,1615,139.0,1.0,6.0,4.0,6.0,6.0,4.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.25,3.75,1.28,3.5,1.29,3.75,1.29,3.97,1.25,3.75,1.32,4.05,1.27,3.63
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Pospisil V.,Groth S.,30,157.0,1289,334.0,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.43,3.07,1.44,2.75,1.47,3.07,1.43,2.77
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Andujar P.,Ramos A.,48,84.0,946,626.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,2.37,1.53,2.6,1.48,2.5,1.5,2.53,1.6,2.38,1.57,2.6,1.7,2.43,1.54
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Kubot L.,61,72.0,760,686.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.57,2.25,1.6,2.3,1.57,2.25,1.63,2.44,1.62,2.25,1.65,2.45,1.59,2.31
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Berankis R.,56,128.0,825,433.0,7.0,5.0,7.0,5.0,6.0,2.0,,,,,3.0,0.0,Completed,1.33,3.25,1.35,3.1,1.36,3.0,1.46,2.94,1.4,2.88,1.46,3.25,1.37,3.04
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Tursunov D.,Russell M.,26,92.0,1314,594.0,6.0,2.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.11,6.5,1.13,5.5,1.14,5.0,1.13,7.07,1.17,5.0,1.17,7.07,1.13,5.95
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Lacko L.,2,96.0,12260,582.0,6.0,3.0,7.0,6.0,6.0,1.0,,,,,3.0,0.0,Completed,1.0,41.0,1.01,13.0,1.0,34.0,,,1.01,21.0,1.01,86.0,1.01,26.85
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Istomin D.,Baghdatis M.,49,108.0,945,515.0,6.0,4.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.57,2.25,1.62,2.25,1.62,2.2,1.66,2.37,1.62,2.25,1.69,2.48,1.61,2.28
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Pouille L.,117,193.0,483,262.0,6.0,4.0,7.0,6.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.4,2.75,1.45,2.7,1.44,2.62,1.52,2.73,1.44,2.75,1.53,2.95,1.46,2.66
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Klahn B.,22,93.0,1460,592.0,6.0,7.0,6.0,4.0,6.0,4.0,6.0,3.0,,,3.0,1.0,Completed,1.18,4.5,1.2,4.3,1.2,4.33,1.19,5.33,1.22,4.0,1.22,5.5,1.19,4.6
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Matosevic M.,17,54.0,1915,856.0,6.0,3.0,5.0,7.0,6.0,2.0,4.0,6.0,6.0,2.0,3.0,2.0,Completed,1.22,4.0,1.25,3.75,1.29,3.5,1.27,4.18,1.29,3.5,1.29,4.3,1.25,3.85
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Przysiezny M.,Zeballos H.,64,65.0,730,730.0,6.0,3.0,7.0,6.0,7.0,5.0,,,,,3.0,0.0,Completed,1.5,2.5,1.5,2.5,1.44,2.62,1.58,2.55,1.5,2.63,1.58,2.64,1.52,2.49
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Gimeno-Traver D.,11,77.0,2860,662.0,7.0,6.0,6.0,1.0,4.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.04,13.0,1.02,12.0,1.02,11.0,1.04,15.0,1.03,11.0,1.05,15.0,1.03,12.02
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Lu Y.H.,Wang J.,53,173.0,860,302.0,6.0,3.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,1.22,4.0,1.25,3.75,1.22,4.0,1.26,4.38,1.22,4.0,1.28,4.4,1.23,3.98
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Hanescu V.,Gojowczyk P.,76,135.0,665,423.0,7.0,6.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,2.75,1.4,2.8,1.42,2.62,1.44,3.19,1.41,2.75,1.44,3.2,1.52,2.79,1.42
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Robert S.,Bedene A.,119,104.0,479,528.0,7.0,6.0,6.0,3.0,6.0,0.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Klizan M.,Isner J.,106,13.0,518,2310.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Retired,7.0,1.1,5.5,1.13,5.5,1.12,6.94,1.14,6.0,1.13,7.9,1.15,5.91,1.12
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Volandri F.,10,70.0,3065,694.0,7.0,5.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,,,1.01,13.0,1.01,26.0,,,1.01,17.0,1.02,33.5,1.01,18.5
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rola B.,Delbonis F.,185,55.0,276,826.0,6.0,4.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,1.66,2.1,1.68,2.15,1.67,2.1,1.74,2.22,1.67,2.2,1.77,2.26,1.68,2.14
ATP,2014,6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Duckworth J.,6,133.0,4355,425.0,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.01,21.0,1.01,13.0,1.02,17.0,,,1.01,17.0,1.03,27.25,1.02,15.89
