Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Haase R.,Berlocq C.,62,67.0,823,725.0,6.0,4.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,1.1,6.5,1.15,5.0,1.14,5.0,1.13,7.12,1.17,4.5,1.17,7.12,1.13,5.65
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,De Bakker T.,12,47.0,2560,950.0,6.0,7.0,2.0,6.0,7.0,5.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.14,5.0,1.2,4.25,1.22,4.0,1.19,5.39,1.2,4.0,1.22,8.0,1.18,4.69
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Fognini F.,82,58.0,599,855.0,6.0,1.0,6.0,4.0,6.0,7.0,6.0,4.0,,,3.0,1.0,Completed,1.44,2.62,1.45,2.65,1.44,2.63,1.49,2.83,1.44,2.63,1.55,2.83,1.46,2.63
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kunitsyn I.,Przysiezny M.,99,84.0,551,596.0,6.0,7.0,6.0,4.0,6.0,4.0,7.0,6.0,,,3.0,1.0,Completed,2.1,1.66,2.0,1.75,2.1,1.67,2.16,1.78,2.2,1.62,2.23,1.8,2.06,1.72
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Gil F.,Cuevas P.,91,64.0,571,790.0,6.0,4.0,6.0,7.0,4.0,6.0,6.0,3.0,9.0,7.0,3.0,2.0,Completed,3.0,1.36,2.8,1.4,2.75,1.4,3.39,1.37,2.88,1.36,3.5,1.44,3.04,1.36
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Monaco J.,Greul S.,28,131.0,1480,424.0,7.0,6.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,,,,,,,,,1.5,2.63,1.5,3.5,1.38,3.07
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kubot L.,Querrey S.,72,18.0,670,1860.0,5.0,7.0,6.0,2.0,3.0,6.0,6.0,1.0,8.0,6.0,3.0,2.0,Completed,3.5,1.28,3.35,1.28,3.75,1.25,3.69,1.33,3.5,1.25,3.81,1.33,3.6,1.27
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Brands D.,43,102.0,970,541.0,6.0,2.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.23,4.73,1.22,3.75,1.25,4.94,1.22,4.12
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Hanescu V.,17,50.0,1921,925.0,2.0,6.0,4.0,6.0,6.0,3.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,1.3,3.4,1.3,3.3,1.33,3.25,1.35,3.52,1.5,2.63,1.5,3.63,1.33,3.22
ATP,2011,6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Davydenko N.,36,25.0,1143,1555.0,6.0,3.0,4.0,6.0,7.0,6.0,6.0,4.0,,,3.0,1.0,Completed,4.5,1.16,4.0,1.22,3.75,1.25,4.5,1.25,3.5,1.25,4.61,1.25,4.08,1.22
