Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Balcells J.,7,112,6.0,2.0,2.0,6.0,7.0,6.0,7.0,6.0,,,3,1,Completed,,,1.17,4.75,1.12,4.5,1.1,4.5,1.182,4.333
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Stoliarov A.,9,101,6.0,1.0,6.0,3.0,6.0,1.0,,,,,3,0,Completed,,,1.16,4.85,1.1,5.25,1.1,4.5,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Henman T.,Larkham T.,8,191,7.0,5.0,6.0,2.0,6.0,2.0,,,,,3,0,Completed,,,,,,,,,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Hipfl M.,Davydenko N.,75,71,6.0,1.0,6.0,4.0,3.0,6.0,6.0,4.0,,,3,1,Completed,,,2.4,1.55,2.1,1.6,2.2,1.45,2.2,1.615
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Burgsmuller L.,44,80,3.0,6.0,2.0,6.0,6.0,3.0,6.0,3.0,7.0,5.0,3,2,Completed,,,1.4,2.85,1.38,2.65,1.4,2.3,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Ivanisevic G.,Damm M.,13,396,4.0,6.0,7.0,5.0,7.0,6.0,6.0,4.0,,,3,1,Completed,,,,,,,,,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Diaz J.,18,89,6.0,1.0,3.0,6.0,7.0,6.0,6.0,4.0,,,3,1,Completed,,,1.12,6.0,1.1,5.0,1.1,4.5,1.125,5.5
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Kohlmann M.,4,116,6.0,3.0,6.0,3.0,6.0,2.0,,,,,3,0,Completed,,,1.1,5.8,1.1,5.25,1.1,4.5,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kim A.,Sanguinetti D.,234,92,3.0,6.0,6.0,2.0,6.0,3.0,6.0,4.0,,,3,1,Completed,,,1.95,1.8,2.15,1.57,1.9,1.6,,
ATP,2002,6,Melbourne,Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Saulnier C.,65,153,0.0,6.0,1.0,6.0,7.0,6.0,6.0,4.0,8.0,6.0,3,2,Completed,,,1.57,2.35,1.63,2.05,1.45,2.2,,
