Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
WTA,2009,43,New York,US Open,2009-09-02,Grand Slam,Outdoor,Hard,2nd Round,3,Martinez-Sanchez M.J.,Kerber A.,43.0,107.0,1376.0,587.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.36,3.0,1.4,2.85,1.364,3.0,1.33,3.0,1.33,3.2
WTA,2009,43,New York,US Open,2009-09-02,Grand Slam,Outdoor,Hard,2nd Round,3,King V.,Stosur S.,114.0,15.0,556.0,2764.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,6.0,1.11,5.5,1.13,6,1.111,6.0,1.125,6.6,1.1
WTA,2009,43,New York,US Open,2009-09-02,Grand Slam,Outdoor,Hard,2nd Round,3,Hantuchova D.,Bacsinszky T.,24.0,73.0,1909.0,908.0,5.0,7.0,6.0,2.0,6.0,1.0,2.0,1.0,Completed,1.4,2.75,1.35,3.1,1.36,3.0,1.333,3.2,1.4,2.86
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Williams S.,Czink M.,2.0,51.0,8907.0,1127.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.03,11.0,1.02,11.5,1.02,11.0,1.04,9.0,1.02,15.0
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Safina D.,Barrois K.,1.0,67.0,9810.0,950.0,6.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.05,9.0,1.05,8.5,1.083,7.0,1.08,6.5,1.08,7.5
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Dulko G.,Bondarenko A.,40.0,32.0,1399.0,1650.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,2.5,1.5,2.35,1.55,2.25,1.571,2.38,1.57,2.52,1.5
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Cirstea S.,Dubois S.,26.0,113.0,1866.0,559.0,6.0,4.0,5.0,7.0,6.0,4.0,2.0,1.0,Completed,1.14,5.0,1.17,4.65,1.16,4.5,1.2,4.0,1.17,4.7
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Petrova N.,Coin J.,13.0,60.0,3120.0,1039.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.22,4.0,1.25,3.75,1.286,3.5,1.25,3.6,1.25,3.8
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Oudin M.,Dementieva E.,70.0,4.0,918.0,6835.0,5.0,7.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,11.0,1.03,8.5,1.05,10,1.03,8.0,1.05,8.0,1.07
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Zheng J.,Cornet A.,22.0,37.0,1965.0,1555.0,1.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.22,4.0,1.25,3.75,1.25,3.75,1.25,3.5,1.18,4.6
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Bondarenko K.,Perry S.,52.0,131.0,1124.0,465.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.85,1.364,3.0,1.4,2.75,1.4,2.85
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Wozniacki C.,Martic P.,8.0,137.0,4730.0,453.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.04,10.0,1.04,9.25,1.04,9.0,1.04,9.0,1.06,9.0
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Kvitova P.,Garbin T.,72.0,58.0,915.0,1047.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.72,2.0,1.85,1.9,1.667,2.1,1.62,2.2,1.72,2.06
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Wickmayer Y.,Peng S.,50.0,44.0,1149.0,1355.0,2.0,6.0,6.0,1.0,6.0,4.0,2.0,1.0,Completed,1.4,2.75,1.48,2.53,1.44,2.62,1.5,2.5,1.46,2.62
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Shvedova Y.,Jankovic J.,55.0,5.0,1083.0,6620.0,6.0,3.0,6.0,7.0,7.0,6.0,2.0,1.0,Completed,7.0,1.08,7.19,1.07,7,1.08,7.0,1.07,7.0,1.09
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Errani S.,Schnyder P.,42.0,20.0,1380.0,2117.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,2.37,1.53,2.35,1.55,2.5,1.5,2.5,1.5,2.38,1.55
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Rodionova An.,Lisicki S.,139.0,25.0,445.0,1890.0,6.0,3.0,3.0,6.0,7.0,5.0,2.0,1.0,Completed,4.5,1.16,4.25,1.2,4.333,1.2,4.0,1.2,4.3,1.2
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Kuznetsova S.,Sevastova A.,6.0,96.0,5960.0,666.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.04,10.0,1.04,9.25,1.04,9.0,1.04,9.0,1.04,10.5
WTA,2009,43,New York,US Open,2009-09-03,Grand Slam,Outdoor,Hard,2nd Round,3,Peer S.,Suarez Navarro C.,64.0,35.0,984.0,1564.0,6.0,2.0,6.0,0.0,,,2.0,0.0,Completed,1.4,2.75,1.45,2.6,1.5,2.5,1.5,2.5,1.44,2.7
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,2nd Round,3,Sharapova M.,Mchale C.,31.0,381.0,1720.0,102.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.02,12.0,1.02,11.5,1.02,11.0,1.02,11.0,1.02,15.0
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Pennetta F.,Wozniak A.,10.0,39.0,3490.0,1419.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.14,5.0,1.17,4.67,1.167,4.5,1.2,4.0,1.18,4.6
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Hantuchova D.,King V.,24.0,114.0,1909.0,556.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.33,3.25,1.35,3.1,1.3,3.4,1.25,3.5,1.35,3.1
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Williams S.,Martinez-Sanchez M.J.,2.0,43.0,8907.0,1376.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.02,12.0,1.03,10.5,1.015,13.0,1.02,13.0,1.03,12.0
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Schiavone F.,Azarenka V.,28.0,9.0,1815.0,4612.0,4.0,6.0,6.0,2.0,6.0,2.0,2.0,1.0,Completed,6.5,1.1,6.54,1.1,6,1.111,5.0,1.14,6.0,1.12
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Zvonareva V.,Vesnina E.,7.0,23.0,5300.0,1915.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.36,3.0,1.34,3.14,1.4,2.75,1.4,2.75,1.38,2.95
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Li N.,Kirilenko M.,19.0,59.0,2132.0,1044.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.4,2.75,1.45,2.65,1.4,2.75,1.44,2.63,1.52,2.47
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Clijsters K.,Flipkens K.,,93.0,,708.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.04,10.0,1.04,9.25,1.03,10.0,1.03,11.0,1.03,12.0
WTA,2009,43,New York,US Open,2009-09-04,Grand Slam,Outdoor,Hard,3rd Round,3,Williams V.,Rybarikova M.,3.0,46.0,6865.0,1350.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.11,6.0,1.1,6.25,1.1,6.5,1.1,6.5,1.12,6.0
WTA,2009,43,New York,US Open,2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,3,Petrova N.,Zheng J.,13.0,22.0,3120.0,1965.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.83,1.83,1.8,1.95,1.8,1.909,1.73,2.0,1.95,1.82
WTA,2009,43,New York,US Open,2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,3,Oudin M.,Sharapova M.,70.0,31.0,918.0,1720.0,3.0,6.0,6.0,4.0,7.0,5.0,2.0,1.0,Completed,4.5,1.16,4.61,1.17,4.5,1.167,5.5,1.13,4.5,1.19
WTA,2009,43,New York,US Open,2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,3,Dulko G.,Shvedova Y.,40.0,55.0,1399.0,1083.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.37,1.53,2.3,1.6,2.1,1.667,2.0,1.73,2.28,1.6
WTA,2009,43,New York,US Open,2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,3,Wickmayer Y.,Errani S.,50.0,42.0,1149.0,1380.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.44,2.62,1.5,2.45,1.533,2.375,1.57,2.25,1.43,2.75
WTA,2009,43,New York,US Open,2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,3,Bondarenko K.,Rodionova An.,52.0,139.0,1124.0,445.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.25,3.75,1.3,3.35,1.286,3.5,1.29,3.25,1.35,3.1
WTA,2009,43,New York,US Open,2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,3,Kuznetsova S.,Peer S.,6.0,64.0,5960.0,984.0,7.0,5.0,6.0,1.0,,,2.0,0.0,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.25,3.5,1.35,3.1
WTA,2009,43,New York,US Open,2009-09-05,Grand Slam,Outdoor,Hard,3rd Round,3,Wozniacki C.,Cirstea S.,8.0,26.0,4730.0,1866.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.3,3.4,1.32,3.22,1.28,3.5,1.33,3.0,1.3,3.4
WTA,2009,43,New York,US Open,2009-09-06,Grand Slam,Outdoor,Hard,3rd Round,3,Kvitova P.,Safina D.,72.0,1.0,915.0,9810.0,6.0,4.0,2.0,6.0,7.0,6.0,2.0,1.0,Completed,5.5,1.12,4.67,1.17,5,1.143,5.0,1.14,5.0,1.16
WTA,2009,43,New York,US Open,2009-09-06,Grand Slam,Outdoor,Hard,4th Round,3,Williams S.,Hantuchova D.,2.0,24.0,8907.0,1909.0,6.0,2.0,6.0,0.0,,,2.0,0.0,Completed,1.04,10.0,1.04,9.25,1.04,9.0,1.03,10.0,1.05,9.5
WTA,2009,43,New York,US Open,2009-09-06,Grand Slam,Outdoor,Hard,4th Round,3,Li N.,Schiavone F.,19.0,28.0,2132.0,1815.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.5,1.5,2.45,1.533,2.375,1.53,2.38,1.52,2.46
WTA,2009,43,New York,US Open,2009-09-06,Grand Slam,Outdoor,Hard,4th Round,3,Clijsters K.,Williams V.,,3.0,,6865.0,6.0,0.0,0.0,6.0,6.0,4.0,2.0,1.0,Completed,1.72,2.0,1.6,2.3,1.72,2.0,1.73,2.0,1.77,2.0
WTA,2009,43,New York,US Open,2009-09-06,Grand Slam,Outdoor,Hard,4th Round,3,Pennetta F.,Zvonareva V.,10.0,7.0,3490.0,5300.0,3.0,6.0,7.0,6.0,6.0,0.0,2.0,1.0,Completed,1.5,2.5,1.5,2.45,1.533,2.375,1.57,2.25,1.5,2.52
WTA,2009,43,New York,US Open,2009-09-07,Grand Slam,Outdoor,Hard,4th Round,3,Bondarenko K.,Dulko G.,52.0,40.0,1124.0,1399.0,6.0,0.0,6.0,0.0,,,2.0,0.0,Completed,1.72,2.0,1.8,1.95,1.833,1.833,1.8,2.0,1.75,2.04
WTA,2009,43,New York,US Open,2009-09-07,Grand Slam,Outdoor,Hard,4th Round,3,Oudin M.,Petrova N.,70.0,13.0,918.0,3120.0,1.0,6.0,7.0,6.0,6.0,3.0,2.0,1.0,Completed,1.72,2.0,1.8,1.95,1.72,2.0,1.8,2.0,1.84,1.92
WTA,2009,43,New York,US Open,2009-09-07,Grand Slam,Outdoor,Hard,4th Round,3,Wickmayer Y.,Kvitova P.,50.0,72.0,1149.0,915.0,4.0,6.0,6.0,4.0,7.0,5.0,2.0,1.0,Completed,1.5,2.5,1.5,2.45,1.533,2.375,1.57,2.38,1.48,2.56
WTA,2009,43,New York,US Open,2009-09-07,Grand Slam,Outdoor,Hard,4th Round,3,Wozniacki C.,Kuznetsova S.,8.0,6.0,4730.0,5960.0,2.0,6.0,7.0,6.0,7.0,6.0,2.0,1.0,Completed,1.9,1.8,1.85,1.95,1.833,1.833,1.9,1.9,1.88,1.88
WTA,2009,43,New York,US Open,2009-09-08,Grand Slam,Outdoor,Hard,Quarterfinals,3,Clijsters K.,Li N.,,19.0,,2132.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.22,4.33,1.22,4.0,1.167,4.5,1.2,4.33,1.23,4.0
WTA,2009,43,New York,US Open,2009-09-08,Grand Slam,Outdoor,Hard,Quarterfinals,3,Williams S.,Pennetta F.,2.0,10.0,8907.0,3490.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.14,5.0,1.15,5.2,1.143,5.0,1.14,5.5,1.16,5.0
WTA,2009,43,New York,US Open,2009-09-09,Grand Slam,Outdoor,Hard,Quarterfinals,3,Wickmayer Y.,Bondarenko K.,50.0,52.0,1149.0,1124.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.53,2.35,1.55,2.25,1.571,2.38,1.57,2.32,1.58
WTA,2009,43,New York,US Open,2009-09-09,Grand Slam,Outdoor,Hard,Quarterfinals,3,Wozniacki C.,Oudin M.,8.0,70.0,4730.0,918.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.36,3.2,1.37,3.0, ,2.75,1.4,2.88,1.38,3.0
WTA,2009,43,New York,US Open,2009-09-13,Grand Slam,Outdoor,Hard,Semifinals,3,Clijsters K.,Williams S.,,2.0,,8907.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,3.0,1.4,3.12,1.34,3,1.364,3.0,1.36,2.95,1.39
WTA,2009,43,New York,US Open,2009-09-13,Grand Slam,Outdoor,Hard,Semifinals,3,Wozniacki C.,Wickmayer Y.,8.0,50.0,4730.0,1149.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.2,4.5,1.23,4.0,1.222,4.0,1.22,4.0,1.24,4.0
WTA,2009,43,New York,US Open,2009-09-14,Grand Slam,Outdoor,Hard,The Final,3,Clijsters K.,Wozniacki C.,,8.0,,4730.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.22,4.33,1.25,3.75,1.2,4.333,1.22,4.0,1.2,4.5
