Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Badosa P.,Larsson J.,97.0,215.0,687.0,280.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,2.1,1.72,2.0,1.88,2.2,1.91,2.07,1.76
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Alexandrova E.,Teichmann J.,28.0,68.0,1645.0,883.0,6.0,4.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.2,4.5,1.21,4.91,1.21,6.0,1.18,4.89
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Goerges J.,Kuzmova V.,39.0,60.0,1415.0,965.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.33,3.4,1.33,3.62,1.36,3.75,1.32,3.41
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Zhu L.,Golubic V.,71.0,76.0,850.0,772.0,4.0,6.0,6.0,1.0,7.0,6.0,2.0,1.0,Completed,1.8,2.0,1.81,2.1,1.91,2.1,1.79,2.02
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Martic P.,Mchale C.,14.0,84.0,2646.0,741.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.44,2.75,1.5,2.75,1.51,2.82,1.46,2.72
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Zheng S.,Kalinskaya A.,42.0,109.0,1350.0,613.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.72,2.1,1.82,2.08,1.83,2.23,1.74,2.09
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Osaka N.,Bouzkova M.,4.0,59.0,5496.0,979.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.14,5.5,1.18,5.47,1.19,6.0,1.16,5.33
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Kenin S.,Trevisan M.,15.0,154.0,2565.0,384.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.2,4.5,1.26,4.25,1.26,5.0,1.22,4.34
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Cirstea S.,Strycova B.,74.0,34.0,795.0,1516.0,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,2.0,1.8,2.26,1.71,2.26,1.84,2.13,1.72
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Krejcikova B.,Kanepi K.,128.0,101.0,489.0,671.0,7.0,6.0,2.0,6.0,6.0,3.0,2.0,1.0,Completed,2.0,1.8,2.13,1.79,2.16,1.84,2.05,1.77
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Li A.,Cabrera L.,142.0,121.0,423.0,538.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,1.66,2.2,1.58,2.53,1.83,2.53,1.64,2.27
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Williams S.,Potapova A.,9.0,90.0,4215.0,711.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.04,13.0,1.04,14.55,1.06,16.5,1.04,11.86
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Wozniacki C.,Ahn K.,36.0,92.0,1463.0,707.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.2,4.5,1.2,5.12,1.22,5.12,1.2,4.62
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Zidansek T.,Han N.L.,70.0,179.0,880.0,344.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.61,2.3,1.61,2.45,1.65,2.47,1.59,2.36
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Kvitova P.,Siniakova K.,8.0,57.0,4436.0,996.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.16,5.0,1.17,5.64,1.19,5.7,1.16,5.23
WTA,2020,6,Melbourne,Australian Open,2020-01-20,Grand Slam,Outdoor,Hard,1st Round,3,Gauff C.,Williams V.,67.0,55.0,885.0,1019.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.57,2.37,1.69,2.28,1.69,2.44,1.62,2.29
