Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Gaston H.,Jasika O.,81,179.0,703,323.0,6.0,2.0,3.0,6.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,1.36,3.2,1.38,3.31,1.38,3.31,1.36,3.11,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Fils A.,Virtanen O.,21,93.0,2280,627.0,3.0,6.0,7.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,1.13,6.0,1.13,7.31,1.14,7.31,1.12,6.15,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Monteiro T.,76,105.0,743,566.0,4.0,6.0,6.0,7.0,7.0,5.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,1.2,4.5,1.22,4.82,1.25,4.82,1.21,4.41,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Munar J.,6,62.0,4210,922.0,6.0,3.0,1.0,6.0,7.0,5.0,2.0,6.0,6.0,1.0,3.0,2.0,Completed,1.17,5.0,1.18,5.66,1.18,5.66,1.17,5.12,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Habib H.,Bu Y.,219,67.0,264,784.0,7.0,6.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,3.2,1.36,3.39,1.37,3.39,1.38,3.16,1.36,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Lehecka J.,Tu L.,29,168.0,1660,342.0,6.0,1.0,3.0,6.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,1.07,9.0,1.11,8.2,1.12,9.0,1.09,7.54,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Nagal S.,25,91.0,1805,635.0,6.0,3.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,1.04,13.0,1.06,12.67,1.07,13.0,1.05,10.52,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Darderi L.,44,45.0,1220,1198.0,6.0,3.0,4.0,1.0,,,,,,,1.0,0.0,Retired,1.62,2.3,1.63,2.45,1.63,2.45,1.61,2.32,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Humbert U.,Gigante M.,14,145.0,2765,403.0,7.0,6.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.08,8.0,1.11,8.5,1.11,8.5,1.09,7.38,,
ATP,2025,5,Melbourne,Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Onclin G.,170,239.0,341,242.0,3.0,6.0,7.0,6.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.29,3.75,1.33,3.68,1.33,3.75,1.29,3.59,,
