Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Koepfer D.,Taberner C.,53,108.0,1096,707.0,6.0,1.0,3.0,6.0,6.0,4.0,6.0,1.0,,,3.0,1.0,Completed,1.3,3.5,1.36,3.43,1.4,3.75,1.33,3.33
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Moutet C.,Pouille L.,100,160.0,737,440.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,3.0,,,3.0,1.0,Completed,1.25,4.0,1.31,3.86,1.31,4.45,1.26,3.81
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Griekspoor T.,Fognini F.,62,32.0,1001,1494.0,6.0,1.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,2.2,1.66,2.14,1.8,2.27,1.84,2.16,1.69
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Mcdonald M.,Milojevic N.,55,139.0,1084,506.0,5.0,7.0,6.0,4.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.16,5.0,1.22,4.93,1.22,6.0,1.19,4.85
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Kecmanovic M.,Caruso S.,77,146.0,836,458.0,6.0,4.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,1.33,3.4,1.31,3.86,1.37,3.89,1.33,3.32
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Sonego L.,Querrey S.,26,110.0,1860,685.0,7.0,5.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.2,4.5,1.17,5.91,1.23,5.91,1.16,5.19
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Hanfmann Y.,Kokkinakis T.,126,103.0,583,726.0,6.0,2.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,3.75,1.28,3.87,1.3,4.3,1.32,3.67,1.28
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Opelka R.,Anderson K.,29,97.0,1776,744.0,6.0,3.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.4,3.0,1.42,3.11,1.47,3.2,1.41,2.89
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Millman J.,Lopez F.,89,109.0,788,696.0,6.0,1.0,6.0,3.0,4.0,6.0,7.0,5.0,,,3.0,1.0,Completed,1.44,2.75,1.41,3.15,1.49,3.15,1.42,2.87
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Otte O.,Tseng C.H.,96,190.0,748,348.0,6.0,4.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.28,3.75,1.32,3.77,1.4,3.82,1.29,3.59
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Karatsev A.,Munar J.,15,71.0,2553,875.0,3.0,6.0,7.0,6.0,6.0,7.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.16,5.0,1.2,5.28,1.27,5.85,1.18,4.83
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Paul T.,Kukushkin M.,41,180.0,1317,362.0,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.22,4.33,1.24,4.55,1.25,4.8,1.22,4.22
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Zverev A.,Altmaier D.,3,87.0,7970,792.0,7.0,6.0,6.0,1.0,7.0,6.0,,,,,3.0,0.0,Completed,1.03,15.0,1.02,25.19,1.03,25.19,1.02,16.98
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Schwartzman D.,Krajinovic F.,13,36.0,2730,1427.0,6.0,3.0,6.0,4.0,7.0,5.0,,,,,3.0,0.0,Completed,1.25,4.0,1.31,3.85,1.31,4.2,1.28,3.73
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Van De Zandschulp B.,Struff J.L.,57,52.0,1069,1149.0,6.0,4.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.5,2.62,1.53,2.69,1.58,2.7,1.52,2.53
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Gasquet R.,Humbert U.,81,40.0,807,1318.0,3.0,6.0,7.0,6.0,7.0,6.0,6.0,3.0,,,3.0,1.0,Completed,4.5,1.2,5.29,1.2,5.3,1.22,4.78,1.19
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,O Connell C.,Gaston H.,175,67.0,383,919.0,7.0,6.0,6.0,0.0,4.0,6.0,6.0,1.0,,,3.0,1.0,Completed,1.8,2.0,1.8,2.13,1.84,2.2,1.76,2.08
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Gombos N.,Skatov T.,117,253.0,624,240.0,6.0,3.0,6.0,2.0,1.0,6.0,6.0,4.0,,,3.0,1.0,Completed,1.72,2.1,1.66,2.37,1.77,2.4,1.64,2.27
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Cilic M.,Gomez E.,27,153.0,1840,450.0,6.0,3.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.08,8.0,1.08,10.42,1.1,10.42,1.08,8.39
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Kohlschreiber P.,Cecchinato M.,134,95.0,533,759.0,6.0,4.0,7.0,5.0,7.0,6.0,,,,,3.0,0.0,Completed,1.5,2.62,1.51,2.77,1.51,2.9,1.46,2.72
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Bautista Agut R.,Travaglia S.,18,98.0,2385,744.0,7.0,6.0,6.0,4.0,5.0,7.0,6.0,1.0,,,3.0,1.0,Completed,1.07,9.0,1.05,14.06,1.08,16.75,1.05,10.64
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Berankis R.,Carballes Baena R.,93,75.0,761,837.0,6.0,1.0,3.0,6.0,2.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.44,2.75,1.41,3.14,1.48,3.16,1.41,2.88
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Rublev A.,Mager G.,6,65.0,4785,957.0,6.0,3.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.04,13.0,1.05,13.8,1.05,15.5,1.04,12.31
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Dimitrov G.,Lehecka J.,28,142.0,1821,494.0,6.0,4.0,4.0,6.0,6.0,3.0,7.0,5.0,,,3.0,1.0,Completed,1.16,5.0,1.21,5.08,1.21,5.75,1.17,5.09
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Johnson S.,Thompson J.,104,73.0,724,860.0,7.0,6.0,6.0,7.0,4.0,6.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,2.0,1.8,2.02,1.89,2.09,1.9,1.99,1.82
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Sinner J.,Sousa J.,10,140.0,3390,500.0,6.0,4.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,1.04,13.0,1.03,19.17,1.05,20.0,1.03,13.85
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Paire B.,Monteiro T.,56,79.0,1075,824.0,6.0,4.0,3.0,6.0,7.0,5.0,2.0,6.0,7.0,5.0,3.0,2.0,Completed,3.2,1.36,3.64,1.33,3.64,1.38,3.25,1.34
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Cressy M.,Isner J.,70,25.0,875,1881.0,7.0,6.0,7.0,5.0,6.0,7.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.8,2.0,1.93,1.97,2.0,2.04,1.88,1.92
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Medvedev D.,Laaksonen H.,2,91.0,8935,781.0,6.0,1.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.01,21.0,1.01,29.95,1.02,29.95,1.01,19.82
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Murray A.,Basilashvili N.,113,23.0,671,2051.0,6.0,1.0,3.0,6.0,6.0,4.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.53,2.5,1.5,2.8,1.56,2.8,1.5,2.6
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Auger-Aliassime F.,Ruusuvuori E.,9,90.0,3608,783.0,6.0,4.0,0.0,6.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.33,3.4,1.33,3.63,1.33,4.05,1.29,3.57
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Machac T.,Cerundolo J.M.,132,80.0,555,818.0,6.0,3.0,2.0,6.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.16,5.0,1.15,6.51,1.2,6.51,1.15,5.43
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Daniel T.,Barrios M.,120,147.0,606,458.0,7.0,6.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,1.36,3.2,1.36,3.44,1.38,3.7,1.34,3.3
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Molcan A.,Safiullin R.,74,149.0,839,455.0,6.0,3.0,7.0,6.0,5.0,7.0,7.0,6.0,,,3.0,1.0,Completed,1.61,2.3,,,1.65,2.45,1.6,2.32
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Andujar P.,Dzumhur D.,83,161.0,800,429.0,6.0,1.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,2.2,1.66,2.4,1.65,2.4,1.74,2.21,1.67
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Evans D.,Goffin D.,24,45.0,1957,1216.0,6.0,4.0,6.0,3.0,6.0,0.0,,,,,3.0,0.0,Completed,1.2,4.5,1.27,4.24,1.29,4.5,1.23,4.14
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Fritz T.,Marterer M.,22,228.0,2175,279.0,7.0,6.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.12,6.0,1.16,6.2,1.16,7.5,1.12,6.2
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Davidovich Fokina A.,Bolt A.,50,152.0,1160,451.0,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.28,3.75,1.28,4.14,1.29,4.33,1.25,3.92
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Baez S.,Ramos-Vinolas A.,88,44.0,791,1259.0,6.0,4.0,4.0,6.0,6.0,3.0,1.0,6.0,6.0,2.0,3.0,2.0,Completed,1.5,2.62,1.58,2.56,1.63,2.7,1.52,2.53
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Tiafoe F.,Trungelliti M.,34,198.0,1467,326.0,3.0,6.0,6.0,4.0,6.0,2.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.11,6.5,1.15,6.32,1.15,6.65,1.13,5.93
ATP,2022,5,Melbourne,Australian Open,2022-01-18,Grand Slam,Outdoor,Hard,1st Round,5.0,Rinderknech A.,Popyrin A.,48,59.0,1178,1010.0,7.0,5.0,4.0,6.0,6.0,2.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.72,2.1,1.78,2.16,1.78,2.38,1.7,2.16
