Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Cipolla F.,Davydenko N.,76.0,52.0,671,875.0,6.0,4.0,4.0,6.0,3.0,6.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,3.5,1.28,3.4,1.3,3.75,1.25,3.61,1.34,3.75,1.22,3.75,1.35,3.48,1.29
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Kubot L.,10.0,58.0,2380,822.0,1.0,6.0,7.0,5.0,6.0,3.0,7.0,5.0,,,3.0,1.0,Completed,1.3,3.4,1.3,3.4,1.36,3.0,1.43,3.06,1.29,3.25,1.43,3.4,1.34,3.17
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Riba P.,Montanes A.,88.0,50.0,612,895.0,7.0,6.0,2.0,6.0,6.0,4.0,7.0,6.0,,,3.0,1.0,Completed,3.5,1.28,3.4,1.3,3.0,1.36,3.52,1.35,3.0,1.33,3.52,1.37,3.27,1.32
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Marchenko I.,65.0,246.0,755,192.0,6.0,3.0,6.0,7.0,4.0,6.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,1.38,2.87,1.35,3.1,1.36,3.0,1.45,2.97,1.36,2.88,1.46,3.25,1.38,2.94
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Mannarino A.,11.0,91.0,2315,598.0,2.0,6.0,6.0,1.0,7.0,5.0,6.0,4.0,,,3.0,1.0,Completed,1.07,9.0,1.05,9.0,1.06,8.5,1.09,9.5,1.05,9.0,1.09,10.4,1.06,8.33
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Mayer L.,19.0,21.0,1755,1630.0,7.0,6.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,1.16,5.0,1.22,4.0,1.25,3.75,1.29,3.97,1.14,5.0,1.3,6.0,1.19,4.53
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Nielsen F.,32.0,240.0,1190,197.0,6.0,1.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.22,4.0,1.3,3.4,1.29,3.5,1.26,4.3,1.22,3.75,1.3,4.3,1.25,3.75
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kavcic B.,Ward J.,103.0,347.0,552,123.0,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.8,1.9,1.8,1.95,1.73,2.0,1.92,1.99,1.73,2.0,1.92,2.01,1.8,1.95
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Ramos A.,7.0,67.0,3700,734.0,7.0,5.0,4.0,6.0,6.0,2.0,6.0,3.0,,,3.0,1.0,Completed,1.01,21.0,1.03,12.0,1.03,11.0,1.02,21.0,1.02,11.0,1.03,26.24,1.02,13.7
ATP,2012,6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Verdasco F.,38.0,24.0,1048,1550.0,4.0,6.0,6.0,7.0,6.0,4.0,6.0,2.0,7.0,5.0,3.0,2.0,Completed,1.53,2.37,1.5,2.5,1.67,2.1,1.65,2.38,1.57,2.38,1.68,2.55,1.57,2.34
