Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ginepri R.,Melzer J.,18.0,55.0,1495.0,675.0,6.0,1.0,6,4,6,2,,,,,3.0,0.0,Completed,1.36,3.0,1.4,2.95,1.44,2.67,1.392,3.35,1.38,2.92
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Gaudio G.,Sabau R.,10.0,107.0,2050.0,397.0,6.0,2.0,5,0,,,,,,,1.0,0.0,Retired,1.16,4.5,1.16,5.25,1.1,6.23,1.18,6.05,1.15,5.0
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Serra F.,14.0,37.0,1635.0,863.0,4.0,6.0,6,3,6,1,6.0,4.0,,,3.0,1.0,Completed,1.8,1.9,1.85,1.95,1.8,1.95,1.893,2.02,1.8,1.95
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Burgsmuller L.,Schuettler R.,143.0,87.0,295.0,463.0,3.0,6.0,6,3,7,6,6.0,3.0,,,3.0,1.0,Completed,2.25,1.57,2.25,1.65,2.28,1.58,2.31,1.709,2.32,1.58
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Bracciali D.,Lu Y.H.,80.0,161.0,498.0,256.0,6.0,1.0,7,6,6,2,,,,,3.0,0.0,Completed,1.72,2.0,1.75,2.05,1.76,1.99,1.847,2.08,1.75,2.0
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Hernych J.,Vicente F.,90.0,106.0,455.0,400.0,2.0,6.0,6,3,7,6,6.0,2.0,,,3.0,1.0,Completed,1.22,4.0,1.25,4.0,1.2,4.45,1.25,4.6,1.2,4.2
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Rehnquist B.,20.0,368.0,1440.0,83.0,6.0,1.0,6,2,6,2,,,,,3.0,0.0,Completed,1.07,7.0,1.14,5.75,1.11,5.84,1.163,6.52,1.1,6.3
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Gremelmayr D.,Bjorkman J.,177.0,66.0,218.0,578.0,3.0,6.0,6,2,6,0,6.0,1.0,,,3.0,1.0,Completed,3.75,1.25,3.65,1.28,4.06,1.21,4.09,1.295,4.1,1.21
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Udomchoke D.,4.0,121.0,2370.0,370.0,6.0,2.0,6,2,1,6,6.0,7.0,6.0,1.0,3.0,2.0,Completed,1.04,9.0,1.06,9.0,1.04,9.35,1.056,15.0,1.06,8.0
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Montanes A.,46.0,72.0,735.0,536.0,4.0,6.0,6,2,6,3,6.0,0.0,,,3.0,1.0,Completed,1.11,6.0,1.1,7.0,1.1,6.75,1.128,8.0,1.07,7.6
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Gimelstob J.,54.0,115.0,684.0,383.0,7.0,6.0,7,5,6,0,,,,,3.0,0.0,Completed,1.36,3.0,1.35,3.2,1.32,3.22,1.332,3.71,1.35,3.05
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Kimmich M.,24.0,313.0,1230.0,103.0,6.0,2.0,6,3,6,1,,,,,3.0,0.0,Completed,1.05,8.5,1.05,10.0,1.06,7.79,1.057,14.98,1.05,9.0
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Calleri A.,21.0,52.0,1390.0,692.0,6.0,4.0,4,6,6,3,6.0,4.0,,,3.0,1.0,Completed,1.28,3.5,1.35,3.2,1.32,3.22,1.328,3.75,1.34,3.1
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Pavel A.,Moya C.,82.0,35.0,485.0,885.0,6.0,4.0,7,6,4,6,3.0,6.0,6.0,4.0,3.0,2.0,Completed,3.75,1.25,4.55,1.2,4.45,1.2,5.21,1.217,4.15,1.21
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Wang Y.T.,Zabaleta M.,98.0,83.0,423.0,481.0,6.0,2.0,7,5,4,1,,,,,2.0,0.0,Retired,1.57,2.25,1.62,2.3,1.75,2.0,1.763,2.21,,
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Moodie W.,Hernandez O.,60.0,113.0,603.0,385.0,3.0,6.0,7,6,6,4,6.0,2.0,,,3.0,1.0,Completed,1.07,7.5,1.08,8.0,1.06,7.79,1.119,8.6,1.06,8.0
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Faurel J.C.,Waske A.,203.0,122.0,183.0,368.0,7.0,6.0,6,3,7,6,,,,,3.0,0.0,Completed,2.62,1.44,2.45,1.55,2.45,1.5,2.56,1.602,2.44,1.52
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Dent T.,110.0,31.0,393.0,920.0,7.0,6.0,6,3,7,6,,,,,3.0,0.0,Completed,5.0,1.14,5.5,1.15,4.45,1.18,5.51,1.2,4.7,1.17
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Dlouhy L.,79.0,96.0,500.0,428.0,7.0,5.0,6,2,6,4,,,,,3.0,0.0,Completed,1.44,2.62,1.45,2.75,1.42,2.75,1.437,3.09,1.44,2.66
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Guccione C.,8.0,148.0,2180.0,283.0,7.0,6.0,6,4,7,6,,,,,3.0,0.0,Completed,1.08,7.0,1.08,8.0,1.1,6.75,1.071,12.0,1.07,7.5
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Reynolds B.,23.0,92.0,1250.0,442.0,7.0,5.0,6,3,6,7,6.0,1.0,,,3.0,1.0,Completed,1.11,6.0,1.08,8.0,1.1,6.75,1.111,8.75,1.1,6.4
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Behrend T.,33.0,88.0,900.0,461.0,6.0,2.0,7,5,6,3,,,,,3.0,0.0,Completed,1.1,6.5,1.1,7.0,1.1,6.75,1.138,7.6,1.1,6.2
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Santoro F.,Spadea V.,65.0,73.0,580.0,515.0,3.0,6.0,6,0,6,2,6.0,3.0,,,3.0,1.0,Completed,1.61,2.2,1.65,2.25,1.6,2.3,1.621,2.51,1.58,2.28
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Daniel M.,162.0,95.0,255.0,429.0,6.0,2.0,6,1,3,0,,,,,2.0,0.0,Retired,1.39,2.75,1.36,3.15,1.3,3.35,1.437,3.09,1.36,3.0
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Vanek J.,19.0,97.0,1490.0,425.0,6.0,4.0,7,6,6,3,,,,,3.0,0.0,Completed,1.12,5.5,1.13,6.0,1.1,6.75,1.133,7.8,1.14,5.25
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Massu N.,123.0,61.0,365.0,600.0,7.0,6.0,6,2,3,6,4.0,6.0,6.0,3.0,3.0,2.0,Completed,2.87,1.39,2.75,1.45,2.85,1.4,2.7,1.556,2.7,1.44
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Blake J.,Acasuso J.,22.0,45.0,1390.0,768.0,6.0,2.0,6,3,4,6,7.0,6.0,,,3.0,1.0,Completed,1.08,7.0,1.08,8.0,1.07,7.19,1.111,8.75,1.12,5.75
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Youzhny M.,39.0,42.0,836.0,795.0,7.0,5.0,5,7,6,4,6.0,2.0,,,3.0,1.0,Completed,1.8,1.9,1.77,2.05,1.8,1.95,1.787,2.17,1.75,2.0
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Saulnier C.,13.0,89.0,1645.0,460.0,6.0,1.0,7,6,6,4,,,,,3.0,0.0,Completed,1.16,4.5,1.18,4.85,1.15,4.92,1.172,6.31,1.21,4.1
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Tursunov D.,Henman T.,53.0,36.0,690.0,870.0,5.0,7.0,6,3,6,4,7.0,5.0,,,3.0,1.0,Completed,1.83,1.83,1.85,1.95,1.8,1.95,1.769,2.2,1.75,2.02
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Mello R.,71.0,131.0,538.0,323.0,5.0,7.0,6,2,6,7,7.0,6.0,6.0,0.0,3.0,2.0,Completed,1.28,3.5,1.28,3.65,1.23,3.89,1.321,3.82,1.28,3.5
