Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
ATP,2006,6,Melbourne,Australian Open,2006-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Lammer M.,3.0,220.0,3085.0,163.0,6.0,4.0,6,2,6,2,,,,,3.0,0.0,Completed,1.01,15.0,1.02,14.0,1.02,25.0,1.016,43.5,1.01,30.0
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Istomin D.,1.0,195.0,6725.0,198.0,6.0,2.0,6,3,6,2,,,,,3.0,0.0,Completed,1.0,2.1,1.01,16.0,1.01,33.0,1.01,81.0,1.01,30.0
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Coria G.,Hanescu V.,9.0,38.0,2175.0,856.0,6.0,4.0,1,6,4,6,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.22,4.0,1.22,4.25,1.2,4.45,1.224,5.06,1.22,4.0
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Horna L.,Monfils G.,81.0,27.0,492.0,1129.0,6.0,4.0,7,5,6,1,,,,,3.0,0.0,Completed,4.5,1.16,4.25,1.22,4.25,1.2,4.55,1.26,4.25,1.2
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Marach O.,15.0,125.0,1540.0,360.0,3.0,6.0,4,6,6,2,6.0,1.0,6.0,3.0,3.0,2.0,Completed,1.07,7.5,1.1,7.0,1.07,7.19,1.14,7.45,1.08,7.0
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Luzzi F.,Marin J.A.,186.0,108.0,209.0,395.0,6.0,1.0,6,4,7,5,,,,,3.0,0.0,Completed,,,,,,,,,,
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Goldstein P.,Djokovic N.,68.0,76.0,567.0,502.0,6.0,2.0,1,6,6,3,6.0,2.0,,,3.0,1.0,Completed,2.75,1.39,3.1,1.36,2.83,1.39,3.35,1.392,3.1,1.34
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Luczak P.,Minar I.,139.0,102.0,304.0,413.0,7.0,6.0,7,6,6,4,,,,,3.0,0.0,Completed,1.57,2.25,1.6,2.35,1.5,2.45,1.617,2.52,1.53,2.42
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Norman D.,Fleishman Z.,104.0,236.0,404.0,150.0,6.0,4.0,7,6,5,7,0.0,6.0,6.0,3.0,3.0,2.0,Completed,1.72,2.0,1.95,1.85,1.87,1.87,1.917,1.99,,
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Rochus O.,Llodra M.,29.0,141.0,1045.0,298.0,6.0,4.0,6,2,6,2,,,,,3.0,0.0,Completed,1.16,4.5,1.17,5.0,1.17,4.67,1.184,5.94,1.15,5.0
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Phau B.,Berlocq C.,91.0,75.0,454.0,504.0,6.0,4.0,7,6,2,6,7.0,6.0,,,3.0,1.0,Completed,1.3,3.39,1.33,3.3,1.35,3.1,1.351,3.65,1.34,3.1
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kim K.,Levy H.,99.0,218.0,416.0,165.0,6.0,4.0,6,4,6,0,,,,,3.0,0.0,Completed,1.9,1.8,2.05,1.77,2.05,1.75,2.01,1.901,1.98,1.78
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Healey N.,Volandri F.,240.0,32.0,148.0,910.0,6.0,2.0,6,3,,,,,,,2.0,0.0,Retired,3.5,1.28,3.5,1.3,3.34,1.3,4.22,1.284,3.6,1.26
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Gasquet R.,41.0,16.0,825.0,1511.0,6.0,2.0,7,5,6,2,,,,,3.0,0.0,Completed,1.44,2.62,1.45,2.75,1.48,2.53,1.485,2.86,1.41,2.8
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Karlovic I.,5.0,67.0,2355.0,575.0,7.0,5.0,4,6,3,6,7.0,5.0,6.0,3.0,3.0,2.0,Completed,1.33,3.0,1.33,3.3,1.28,3.46,1.331,3.72,1.33,3.2
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Andreev I.,Almagro N.,26.0,111.0,1215.0,392.0,7.0,5.0,6,4,6,3,,,,,3.0,0.0,Completed,1.19,4.33,1.17,5.0,1.2,4.25,1.22,5.14,1.16,4.85
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Pashanski B.,Arthurs W.,77.0,100.0,502.0,416.0,6.0,3.0,6,4,4,6,7.0,6.0,,,3.0,1.0,Completed,2.62,1.44,,,2.25,1.6,2.59,1.592,2.3,1.58
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Monaco J.,Lisnard J.R.,85.0,109.0,477.0,393.0,4.0,6.0,6,2,6,4,6.0,3.0,,,3.0,1.0,Completed,1.5,2.5,1.45,2.75,1.5,2.45,1.478,2.89,1.46,2.6
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Murray A.,51.0,62.0,695.0,593.0,6.0,1.0,6,3,6,3,,,,,3.0,0.0,Completed,2.37,1.53,2.5,1.53,2.3,1.6,2.7,1.556,2.35,1.55
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Vik R.,6.0,58.0,2330.0,612.0,6.0,4.0,2,6,5,7,7.0,6.0,6.0,3.0,3.0,2.0,Completed,1.07,7.5,1.05,10.0,1.06,7.79,1.083,11.0,1.06,7.8
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Starace P.,173.0,105.0,224.0,403.0,7.0,5.0,6,7,6,3,3.0,6.0,6.0,3.0,3.0,2.0,Completed,2.2,1.61,2.5,1.53,2.25,1.6,2.65,1.571,2.32,1.57
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Lee H.T.,69.0,112.0,544.0,386.0,6.0,4.0,6,1,4,6,6.0,4.0,,,3.0,1.0,Completed,1.44,2.62,1.45,2.75,1.4,2.85,1.474,2.91,1.4,2.85
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Vliegen K.,Rochus C.,84.0,43.0,481.0,795.0,6.0,3.0,6,1,6,4,,,,,3.0,0.0,Completed,1.5,2.5,1.53,2.5,1.45,2.6,1.581,2.62,1.5,2.5
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kiefer N.,Srichaphan P.,25.0,50.0,1215.0,705.0,6.0,7.0,4,6,7,6,6.0,1.0,6.0,2.0,3.0,2.0,Completed,1.53,2.37,1.48,2.65,1.46,2.6,1.541,2.75,1.58,2.3
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Seppi A.,137.0,56.0,309.0,672.0,1.0,6.0,6,4,4,6,6.0,2.0,6.0,4.0,3.0,2.0,Completed,3.0,1.36,3.1,1.37,2.92,1.37,3.41,1.383,3.1,1.34
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mirnyi M.,Ascione T.,34.0,93.0,890.0,440.0,6.0,3.0,3,6,6,1,6.0,7.0,6.0,0.0,3.0,2.0,Completed,1.28,3.5,1.33,3.3,1.34,3.12,1.365,3.54,1.25,3.7
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Sanguinetti D.,Adaktusson J.,44.0,265.0,779.0,133.0,7.0,6.0,6,3,6,2,,,,,3.0,0.0,Completed,1.16,4.5,1.22,4.25,1.13,5.5,1.236,4.84,1.18,4.55
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Mathieu P.H.,Clement A.,48.0,64.0,713.0,583.0,6.0,3.0,7,6,6,3,,,,,3.0,0.0,Completed,2.0,1.72,2.2,1.67,2.15,1.65,2.22,1.758,2.05,1.7
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Bogomolov A.,Gonzalez F.,202.0,12.0,184.0,1655.0,4.0,6.0,7,6,6,3,6.0,7.0,7.0,5.0,3.0,2.0,Completed,7.0,1.08,6.65,1.11,5.2,1.15,6.59,1.162,7.2,1.08
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Sluiter R.,Snobel P.,103.0,217.0,407.0,167.0,6.0,4.0,2,6,6,2,6.0,4.0,,,3.0,1.0,Completed,1.44,2.75,1.45,2.75,1.4,2.85,1.446,3.04,1.42,2.75
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Carlsen K.,30.0,63.0,925.0,590.0,7.0,6.0,6,4,6,4,,,,,3.0,0.0,Completed,1.28,3.5,1.35,3.2,1.34,3.12,1.294,4.1,1.32,3.2
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Zib T.,17.0,70.0,1500.0,544.0,7.0,5.0,6,0,6,2,,,,,3.0,0.0,Completed,1.19,4.33,1.22,4.25,1.17,4.67,1.271,4.39,1.18,4.5
ATP,2006,6,Melbourne,Australian Open,2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Philippoussis M.,28.0,165.0,1080.0,243.0,6.0,4.0,6,2,6,3,,,,,3.0,0.0,Completed,1.36,3.0,1.37,3.1,1.4,2.85,1.429,3.13,1.32,3.22
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Ljubicic I.,Kohlschreiber P.,8.0,79.0,2180.0,500.0,7.0,5.0,6,2,6,1,,,,,3.0,0.0,Completed,1.11,6.0,1.12,6.25,1.17,4.67,1.148,7.15,1.15,5.0
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Gremelmayr D.,Ginepri R.,177.0,18.0,218.0,1495.0,2.0,6.0,5,7,6,4,6.0,3.0,6.0,3.0,3.0,2.0,Completed,7.5,1.07,8.0,1.08,6.75,1.1,8.55,1.12,8.0,1.07
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Baghdatis M.,Stepanek R.,54.0,20.0,684.0,1440.0,6.0,4.0,6,3,3,6,0.0,6.0,7.0,5.0,3.0,2.0,Completed,2.37,1.53,2.3,1.62,2.4,1.53,2.42,1.658,2.18,1.64
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Gaudio G.,Burgsmuller L.,10.0,143.0,2050.0,295.0,6.0,3.0,6,2,6,3,,,,,3.0,0.0,Completed,1.22,4.0,1.22,4.25,1.21,4.06,1.273,4.36,1.2,4.25
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrer D.,Bracciali D.,14.0,80.0,1635.0,498.0,6.0,4.0,6,4,6,7,6.0,2.0,,,3.0,1.0,Completed,1.28,3.5,1.28,3.65,1.25,3.9,1.313,3.9,1.26,3.65
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Santoro F.,Pavel A.,65.0,82.0,580.0,485.0,6.0,4.0,6,1,6,4,,,,,3.0,0.0,Completed,1.57,2.25,1.55,2.45,1.55,2.35,1.565,2.67,1.53,2.45
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Benneteau J.,Garcia-Lopez G.,162.0,110.0,255.0,393.0,6.0,4.0,7,6,6,1,,,,,3.0,0.0,Completed,2.5,1.5,2.3,1.62,2.15,1.65,2.51,1.621,2.3,1.57
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Ancic M.,Hernych J.,21.0,90.0,1390.0,455.0,6.0,1.0,6,4,6,4,,,,,3.0,0.0,Completed,1.19,4.33,1.22,4.25,1.17,4.67,1.247,4.65,1.18,4.5
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Nieminen J.,Wang Y.T.,24.0,98.0,1230.0,423.0,6.0,2.0,7,6,6,2,,,,,3.0,0.0,Completed,1.12,5.5,1.13,6.0,1.11,5.84,1.163,6.53,1.14,5.3
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Muller G.,33.0,71.0,900.0,538.0,6.0,2.0,6,4,6,7,6.0,4.0,,,3.0,1.0,Completed,1.53,2.37,1.53,2.5,1.5,2.45,1.549,2.72,1.5,2.5
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Blake J.,Faurel J.C.,22.0,203.0,1390.0,183.0,2.0,6.0,6,1,6,4,6.0,3.0,,,3.0,1.0,Completed,1.06,8.0,1.08,8.0,1.04,9.25,1.08,11.0,1.04,10.0
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Roddick A.,Moodie W.,3.0,60.0,3085.0,603.0,7.0,5.0,6,3,6,2,,,,,3.0,0.0,Completed,1.06,8.0,1.05,10.0,1.04,9.25,1.08,11.25,1.04,10.0
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Simon G.,Berdych T.,123.0,23.0,365.0,1250.0,6.0,3.0,6,2,4,6,6.0,2.0,,,3.0,1.0,Completed,5.0,1.14,5.25,1.16,5.2,1.15,6.4,1.167,5.25,1.14
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Robredo T.,Tursunov D.,19.0,53.0,1490.0,690.0,7.0,6.0,3,6,7,6,6.0,3.0,,,3.0,1.0,Completed,2.0,1.72,2.05,1.77,1.95,1.8,2.01,1.901,1.95,1.8
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Johansson T.,Malisse X.,13.0,39.0,1645.0,836.0,6.0,3.0,3,6,7,5,4.0,6.0,6.0,3.0,3.0,2.0,Completed,1.66,2.1,1.67,2.2,1.7,2.1,1.694,2.34,1.7,2.1
ATP,2006,6,Melbourne,Australian Open,2006-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Nalbandian D.,Wawrinka S.,4.0,46.0,2370.0,735.0,6.0,4.0,3,6,6,4,6.0,2.0,,,3.0,1.0,Completed,1.19,4.33,1.22,4.25,1.25,3.74,1.279,4.28,1.25,3.75
ATP,2006,6,Melbourne,Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Luczak P.,Rochus O.,139.0,29.0,304.0,1045.0,6.0,7.0,6,4,6,1,6.0,7.0,6.0,1.0,3.0,2.0,Completed,4.0,1.22,4.25,1.22,3.6,1.25,4.97,1.229,4.0,1.22
ATP,2006,6,Melbourne,Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Davydenko N.,Kim K.,5.0,99.0,2355.0,416.0,4.0,6.0,6,0,6,3,6.0,2.0,,,3.0,1.0,Completed,1.08,7.0,1.1,7.0,1.11,5.84,1.123,8.36,1.12,5.7
ATP,2006,6,Melbourne,Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Vliegen K.,Verdasco F.,84.0,30.0,481.0,925.0,3.0,6.0,6,2,7,6,7.0,5.0,,,3.0,1.0,Completed,2.1,1.66,2.0,1.81,2.12,1.67,2.16,1.794,2.05,1.74
ATP,2006,6,Melbourne,Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Mirnyi M.,Sanguinetti D.,34.0,44.0,890.0,779.0,7.0,5.0,6,3,4,6,7.0,6.0,,,3.0,1.0,Completed,1.61,2.2,1.7,2.15,1.73,2.03,1.82,2.12,1.76,2.02
ATP,2006,6,Melbourne,Australian Open,2006-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Andreev I.,Sluiter R.,26.0,103.0,1215.0,407.0,3.0,6.0,6,3,7,6,2.0,6.0,6.0,2.0,3.0,2.0,Completed,1.22,4.0,1.25,4.0,1.3,3.35,1.25,4.6,1.24,3.8
