Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Melzer G.,301,87.0,164,648.0,5.0,7.0,6.0,3.0,2.0,6.0,7.0,6.0,6.0,1.0,3.0,2.0,Completed,2.5,1.53,2.2,1.52,2.5,1.53,2.5,1.6,2.62,1.6,2.45,1.54
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Almagro N.,72,42.0,705,1040.0,4.0,0.0,,,,,,,,,0.0,0.0,Retired,1.8,2.0,1.82,1.82,1.8,2.0,1.86,2.05,1.86,2.06,1.81,1.97
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Dzumhur D.,35,78.0,1225,694.0,6.0,4.0,6.0,4.0,2.0,6.0,2.0,6.0,6.0,3.0,3.0,2.0,Completed,1.22,4.33,1.16,4.1,1.22,4.33,1.22,4.93,1.25,4.93,1.22,4.25
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Estrella Burgos V.,Bedene A.,103,109.0,586,547.0,7.0,6.0,7.0,5.0,0.0,6.0,6.0,3.0,,,3.0,1.0,Completed,5.0,1.16,4.4,1.14,5.0,1.14,5.83,1.17,5.83,1.2,5.07,1.16
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Mahut N.,82,41.0,664,1085.0,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.66,2.2,1.58,2.1,1.73,2.1,1.72,2.25,1.77,2.25,1.68,2.15
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Kuznetsov An.,5,45.0,5010,1015.0,5.0,7.0,6.0,1.0,6.0,4.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,1.08,8.0,1.06,6.25,1.08,8.0,1.11,8.36,1.12,8.5,1.09,7.23
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Zverev M.,Garcia-Lopez G.,50,74.0,894,700.0,6.0,3.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,1.28,3.75,1.25,3.1,1.3,3.5,1.31,3.81,1.31,3.81,1.29,3.51
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Halys Q.,32,155.0,1355,379.0,6.0,7.0,7.0,6.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,1.36,3.25,1.28,3.0,1.4,3.0,1.43,3.08,1.43,3.25,1.36,3.1
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Vanni L.,10,157.0,3060,373.0,6.0,1.0,,,,,,,,,1.0,0.0,Retired,1.04,13.0,1.02,7.5,1.03,10.0,1.05,13.96,1.08,14.65,1.04,11.34
ATP,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Bellucci T.,27,62.0,1420,771.0,6.0,2.0,6.0,1.0,6.0,4.0,,,,,3.0,0.0,Completed,1.4,3.0,1.33,2.85,1.44,2.75,1.4,3.23,1.44,3.23,1.39,2.97
