Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Anisimova A.,Hartono A.,60.0,189.0,1060.0,363.0,2.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,1.1,7.0,1.09,8.85,1.11,9.0,1.08,7.85
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Zheng Q.,Sasnovich A.,108.0,76.0,719.0,923.0,6.0,3.0,1.0,6.0,7.0,6.0,2.0,1.0,Completed,2.1,1.72,2.26,1.7,2.28,1.8,2.15,1.71
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Svitolina E.,Ferro F.,17.0,101.0,2641.0,758.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.22,4.33,1.25,4.38,1.25,4.59,1.22,4.26
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Tan H.,Putintseva Y.,107.0,42.0,721.0,1400.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,3.4,1.33,3.58,1.33,3.66,1.35,3.44,1.31
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Bencic B.,Mladenovic K.,22.0,88.0,2415.0,860.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.14,5.5,1.12,7.43,1.17,7.5,1.13,6.02
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Giorgi C.,Potapova A.,33.0,68.0,1692.0,1015.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.8,2.0,1.79,2.13,1.9,2.13,1.8,2.01
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Sakkari M.,Maria T.,8.0,287.0,4071.0,234.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.03,15.0,1.03,17.17,1.03,19.0,1.02,14.68
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Sorribes Tormo S.,Flipkens K.,35.0,326.0,1588.0,192.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.22,4.33,1.28,3.99,1.28,4.5,1.24,4.03
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Pera B.,Alexandrova E.,105.0,45.0,728.0,1356.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,2.62,1.5,2.97,1.44,3.0,1.52,2.83,1.43
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Osaka N.,Osorio M.,14.0,50.0,2696.0,1167.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.07,9.0,1.08,9.32,1.1,11.0,1.07,8.53
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Kostyuk M.,Parry D.,66.0,114.0,1030.0,682.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.2,4.5,1.17,5.78,1.2,6.0,1.16,5.14
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Martincova T.,Davis L.,47.0,90.0,1226.0,852.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.61,2.3,1.69,2.28,1.69,2.33,1.65,2.24
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Brengle M.,Yastremska D.,54.0,144.0,1132.0,502.0,6.0,1.0,0.0,6.0,5.0,0.0,1.0,1.0,Retired,2.2,1.66,2.17,1.76,2.3,1.76,2.17,1.69
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Zanevska M.,Juvan K.,80.0,89.0,892.0,858.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,2.2,1.66,2.38,1.64,2.45,1.7,2.26,1.63
WTA,2022,6,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,3,Van Uytvanck A.,Bucsa C.,55.0,154.0,1125.0,444.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.33,3.4,1.31,3.74,1.35,4.0,1.3,3.51
