Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Arnaldi M.,Walton A.,41,174.0,1077,354.0,7.0,6.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.2,4.5,1.22,4.84,1.23,4.84,1.21,4.48
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Shevchenko A.,82,48.0,706,975.0,6.0,3.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,3.2,1.36,3.06,1.43,3.51,1.48,3.0,1.4
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Van De Zandschulp B.,4,59.0,6490,890.0,6.0,4.0,7.0,5.0,6.0,3.0,,,,,3.0,0.0,Completed,1.06,10.0,1.06,13.9,1.08,15.96,1.05,10.8
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kotov P.,Rinderknech A.,65,94.0,835,629.0,7.0,5.0,6.0,1.0,6.0,7.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,1.62,2.3,1.69,2.3,1.72,2.37,1.67,2.23
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Sweeny D.,21,257.0,1760,228.0,3.0,6.0,6.0,3.0,6.0,4.0,2.0,6.0,6.0,2.0,3.0,2.0,Completed,1.36,3.2,1.4,3.21,1.4,3.46,1.35,3.22
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Cilic M.,67,,823,,6.0,1.0,2.0,6.0,6.0,2.0,7.0,5.0,,,3.0,1.0,Completed,1.73,2.1,1.76,2.19,1.78,2.22,1.74,2.11
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Seyboth Wild T.,5,77.0,5010,718.0,7.0,5.0,6.0,4.0,3.0,6.0,4.0,6.0,7.0,6.0,3.0,2.0,Completed,1.03,17.0,1.03,25.21,1.04,25.34,1.02,16.12
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Mochizuki S.,75,136.0,748,457.0,7.0,5.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,1.25,4.0,1.3,3.92,1.31,4.0,1.27,3.82
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86.0,814,680.0,3.0,6.0,7.0,5.0,4.0,6.0,6.0,1.0,7.0,5.0,3.0,2.0,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95
ATP,2024,5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74.0,393,763.0,4.0,6.0,6.0,2.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,1.36,3.2,1.35,3.55,1.43,3.55,1.37,3.12
