Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Putintseva Y.,Haddad Maia B.,94,61.0,799,1052.0,3.0,6.0,7,5,6,3,2.0,1.0,Completed,1.73,2.1,,,1.73,2.15,1.72,2.1,1.79,2.24
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Ruse E.G.,Yastremska D.,79,28.0,872,1610.0,6.0,4.0,7,5,,,2.0,0.0,Completed,2.1,1.73,,,2.15,1.75,2.09,1.72,2.3,1.75
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Gibson T.,Blinkova A.,119,64.0,634,1016.0,6.0,1.0,6,3,,,2.0,0.0,Completed,1.8,2.0,,,1.83,2.1,1.78,2.02,1.87,2.12
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Paolini J.,Sasnovich A.,8,104.0,4267,755.0,6.0,1.0,6,2,,,2.0,0.0,Completed,1.33,3.4,,,1.4,3.4,1.35,3.11,1.4,3.4
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Sakkari M.,Jeanjean L.,53,103.0,1133,760.0,6.0,4.0,6,2,,,2.0,0.0,Completed,1.17,5.0,,,1.24,5.25,1.21,4.34,1.24,5.0
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,McNally C.,Sakatsume H.,85,140.0,836,514.0,6.0,3.0,6,1,,,2.0,0.0,Completed,1.4,3.0,,,1.55,3.0,1.45,2.67,1.51,2.94
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Jacquemot E.,Kostyuk M.,60,20.0,1070,1983.0,6.0,7.0,7,6,7,6,2.0,1.0,Completed,8,1.08,,,9.0,1.09,7.83,1.07,10.0,1.1
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Svitolina E.,Bucsa C.,12,52.0,2856,1134.0,6.0,4.0,6,1,,,2.0,0.0,Completed,1.17,5.0,,,1.21,5.25,1.18,4.63,1.2,5.8
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Baptiste H.,Townsend T.,70,116.0,979,652.0,6.0,3.0,6,7,6,3,2.0,1.0,Completed,2.38,1.57,,,3.25,1.58,2.76,1.45,3.25,1.37
WTA,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,3,Sonmez Z.,Alexandrova E.,112,11.0,694,3375.0,7.0,5.0,4,6,6,4,2.0,1.0,Completed,4,1.25,,,4.0,1.33,3.67,1.28,4.7,1.26
