Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Daniel M.,68,101.0,1163,932.0,6.0,4.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,1.14,5.0,1.2,4.55,1.222,4.0,1.222,3.75,1.25,3.8
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Stoppini A.,3,220.0,10650,354.0,6.0,2.0,6.0,3.0,7.0,5.0,,,,,3.0,0.0,Completed,1.0,21.0,1.01,16.0,1.013,15.0,1.01,15.0,1.01,20.0
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Groth S.,24,279.0,2330,266.0,6.0,7.0,6.0,4.0,7.0,5.0,6.0,0.0,,,3.0,1.0,Completed,1.05,9.0,1.09,7.33,1.071,7.5,1.071,8.0,1.06,9.0
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Dent T.,127,728.0,728,48.0,6.0,4.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,2.0,1.72,2.1,1.75,1.833,1.833,1.833,1.833,1.97,1.8
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Calleri A.,62,66.0,1232,1170.0,3.0,6.0,7.0,6.0,6.0,2.0,6.0,0.0,,,3.0,1.0,Completed,2.1,1.66,2.2,1.65,2.1,1.667,2.0,1.727,2.1,1.7
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Korolev E.,Moya C.,118,41.0,808,1580.0,6.0,3.0,6.0,1.0,7.0,6.0,,,,,3.0,0.0,Completed,2.1,1.66,2.1,1.75,2.1,1.667,2.1,1.667,2.1,1.7
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Anderson K.,20,108.0,2450,904.0,6.0,3.0,6.0,2.0,6.0,7.0,6.0,3.0,,,3.0,1.0,Completed,1.1,6.5,1.12,6.35,1.1,6.5,1.071,7.0,1.1,6.5
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Lu Y.H.,Bellucci T.,61,90.0,1244,978.0,6.0,3.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.57,2.25,1.58,2.4,1.615,2.2,1.615,2.2,1.54,2.4
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Bolelli S.,Vliegen K.,39,85.0,1686,1008.0,7.0,6.0,7.0,6.0,7.0,5.0,,,,,3.0,0.0,Completed,1.53,2.37,1.6,2.4,1.571,2.25,1.533,2.375,1.58,2.32
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Safin M.,Navarro-Pastor I.,27,74.0,2050,1108.0,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.12,5.5,1.15,5.6,1.167,4.5,1.1,6.0,1.14,5.5
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Mathieu P.H.,Nieminen J.,29,38.0,2000,1700.0,6.0,2.0,4.0,1.0,,,,,,,1.0,0.0,Retired,2.0,1.72,2.15,1.7,2.1,1.667,2.1,1.727,2.03,1.75
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Hernandez O.,46,67.0,1500,1168.0,4.0,6.0,6.0,1.0,6.0,3.0,4.0,6.0,6.0,0.0,3.0,2.0,Completed,1.1,6.5,1.12,6.35,1.125,5.5,1.1,6.0,1.1,6.5
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Querrey S.,34,33.0,1855,1860.0,7.0,6.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.83,1.83,2.1,1.75,1.833,1.833,1.833,1.833,1.75,2.03
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Santoro F.,Ferrero J.C.,60,65.0,1268,1190.0,6.0,3.0,6.0,2.0,6.0,7.0,6.0,2.0,,,3.0,1.0,Completed,3.75,1.25,3.95,1.25,3.5,1.286,3.5,1.25,4.0,1.23
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Nalbandian D.,Gicquel M.,11,50.0,3500,1448.0,6.0,1.0,4.0,6.0,6.0,2.0,6.0,3.0,,,3.0,1.0,Completed,1.06,8.0,1.1,6.75,1.1,6.5,1.083,7.0,1.1,6.5
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Seppi A.,2,35.0,10700,1820.0,6.0,1.0,7.0,6.0,7.0,5.0,,,,,3.0,0.0,Completed,1.0,21.0,1.02,13.5,1.015,13.0,1.004,26.0,1.01,20.0
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Junqueira D.,25,76.0,2330,1088.0,6.0,7.0,7.0,6.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,1.01,15.0,1.02,13.5,1.015,13.0,1.03,11.0,1.01,25.0
ATP,2009,6,Melbourne,Australian Open,2009-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Hanescu V.,Hernych J.,44,78.0,1531,1068.0,3.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,3.0,2.0,Completed,1.3,3.4,1.32,3.4,1.364,3.0,1.333,3.25,1.33,3.2
