Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Coria F.,14,92.0,2630,785.0,6.0,3.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.01,26.0,1.01,26.84,1.02,34.0,1.01,21.38
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Novak D.,36,98.0,1561,752.0,6.0,2.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.66,2.2,1.66,2.37,1.83,2.37,1.68,2.19
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Ruusuvuori E.,Monfils G.,86,11.0,816,2860.0,3.0,6.0,6.0,4.0,7.0,5.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.61,2.3,1.56,2.59,1.78,2.6,1.56,2.42
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Millman J.,71,39.0,928,1421.0,6.0,4.0,6.0,7.0,3.0,6.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,3.0,1.4,2.88,1.48,3.05,1.5,2.78,1.44
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Lu Y.,38,1009.0,1422,10.0,6.0,3.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,1.06,10.0,1.05,14.72,1.07,15.0,1.04,11.4
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Sousa P.,18,107.0,2365,701.0,6.0,3.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.08,8.0,1.09,9.33,1.1,11.25,1.08,8.13
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Bolt A.,Gombos N.,166,89.0,400,797.0,6.0,2.0,6.0,2.0,4.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.66,2.2,1.88,2.02,1.94,2.4,1.74,2.09
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Nishioka Y.,87,58.0,810,1062.0,6.0,7.0,6.0,1.0,6.0,1.0,6.0,1.0,,,3.0,1.0,Completed,3.2,1.36,3.1,1.43,3.25,1.47,3.0,1.38
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Ramos-Vinolas A.,31,46.0,1695,1210.0,7.0,6.0,3.0,6.0,6.0,2.0,7.0,6.0,,,3.0,1.0,Completed,1.14,5.5,1.18,5.63,1.2,6.05,1.15,5.47
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Polmans M.,55,126.0,1072,546.0,4.0,6.0,6.0,3.0,6.0,1.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,1.16,5.0,1.23,4.67,1.24,5.3,1.19,4.58
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Kukushkin M.,3,90.0,9125,796.0,7.0,6.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.02,17.0,1.04,16.39,1.05,21.0,1.02,15.11
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Karatsev A.,Mager G.,114,96.0,642,770.0,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.25,4.0,1.26,4.33,1.32,4.55,1.24,4.0
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Kecmanovic M.,Majchrzak K.,41,109.0,1353,690.0,6.0,2.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.44,2.75,1.49,2.85,1.49,3.1,1.42,2.87
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Giron M.,7,75.0,5615,889.0,6.0,7.0,7.0,6.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.05,11.0,1.06,11.72,1.09,12.0,1.06,9.63
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Bublik A.,Bedene A.,45,57.0,1220,1065.0,6.0,4.0,7.0,5.0,5.0,7.0,6.0,4.0,,,3.0,1.0,Completed,2.0,1.8,1.99,1.92,2.05,2.05,1.95,1.86
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Gerasimov E.,Paire B.,79,29.0,854,1738.0,6.0,2.0,2.0,6.0,7.0,6.0,7.0,5.0,,,3.0,1.0,Completed,1.16,5.0,1.19,5.44,1.19,8.0,1.15,5.36
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Dzumhur D.,105,120.0,721,572.0,6.0,3.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.36,3.2,1.45,2.98,1.45,3.25,1.38,3.02
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Vesely J.,Coppejans K.,68,178.0,958,368.0,6.0,4.0,3.0,6.0,6.0,7.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.25,4.0,1.29,3.97,1.32,4.35,1.25,3.91
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Humbert U.,Uchiyama Y.,34,106.0,1671,701.0,6.0,3.0,6.0,4.0,6.0,7.0,6.0,3.0,,,3.0,1.0,Completed,1.14,5.5,1.16,6.25,1.17,6.5,1.14,5.8
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Muller A.,Londero J.I.,210,83.0,305,832.0,4.0,6.0,6.0,3.0,6.0,0.0,6.0,3.0,,,3.0,1.0,Completed,1.8,2.0,1.89,2.0,1.91,2.05,1.83,1.99
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Nishikori K.,16,42.0,2585,1345.0,7.0,5.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,1.33,3.4,1.3,3.92,1.35,3.95,1.3,3.51
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Travaglia S.,64,60.0,1005,1024.0,7.0,6.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.28,3.75,1.33,3.66,1.33,3.8,1.29,3.55
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Cilic M.,21,43.0,2260,1325.0,6.0,4.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,1.5,2.62,1.6,2.51,1.6,2.67,1.52,2.54
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Koepfer D.,Dellien H.,70,112.0,931,646.0,7.0,5.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.22,4.33,1.26,4.3,1.26,5.3,1.21,4.42
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Stakhovsky S.,27,200.0,1785,332.0,5.0,7.0,6.0,4.0,6.0,3.0,5.0,7.0,6.0,4.0,3.0,2.0,Completed,1.36,3.2,1.4,3.24,1.4,3.46,1.35,3.18
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Auger-Aliassime F.,Stebe C.M.,19,129.0,2346,539.0,6.0,2.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.12,6.0,1.18,5.74,1.23,6.59,1.14,5.64
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Ymer E.,9,205.0,3480,314.0,7.0,6.0,6.0,4.0,2.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.04,13.0,1.05,14.13,1.06,18.0,1.04,11.74
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Sugita Y.,233,104.0,253,723.0,3.0,6.0,6.0,1.0,4.0,1.0,,,,,1.0,1.0,Retired,2.2,1.66,2.1,1.83,2.25,1.83,2.11,1.73
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Ferreira Silva F.,47,185.0,1190,356.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.14,5.5,1.15,6.35,1.17,6.35,1.14,5.61
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Cressy M.,Daniel T.,172,118.0,389,591.0,7.0,6.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,2.1,1.72,2.27,1.71,2.3,1.8,2.14,1.71
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Chardy J.,1,61.0,12030,1020.0,6.0,3.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.01,26.0,1.01,31.6,1.02,67.0,1.01,23.28
ATP,2021,5,Melbourne,Australian Open,2021-02-08,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Sinner J.,12,32.0,2830,1694.0,3.0,6.0,6.0,3.0,6.0,2.0,4.0,6.0,6.0,4.0,3.0,2.0,Completed,1.5,2.62,1.48,2.86,1.53,2.9,1.46,2.7
ATP,2021,5,Melbourne,Australian Open,2021-02-09,Grand Slam,Outdoor,Hard,1st Round,5,Harris L.,Torpegaard M.,91,188.0,793,350.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,1.36,3.2,1.41,3.15,1.45,3.26,1.37,3.07
ATP,2021,5,Melbourne,Australian Open,2021-02-09,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Cecchinato M.,192,82.0,345,838.0,3.0,6.0,6.0,3.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,1.36,3.2,1.38,3.35,1.4,3.4,1.35,3.16
ATP,2021,5,Melbourne,Australian Open,2021-02-09,Grand Slam,Outdoor,Hard,1st Round,5,Monteiro T.,Martin A.,74,103.0,894,734.0,7.0,6.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.22,4.33,1.25,4.42,1.25,4.9,1.22,4.24
ATP,2021,5,Melbourne,Australian Open,2021-02-09,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Struff J.L.,121,37.0,568,1495.0,7.0,6.0,7.0,6.0,6.0,1.0,,,,,3.0,0.0,Completed,4.5,1.2,4.3,1.26,4.73,1.26,4.29,1.22
