Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Haehnel J.,Agassi A.,271.0,6.0,6.0,4.0,7.0,6.0,6,3.0,,,,,3.0,0.0,Completed,9.0,1.04,6.25,1.1,7.79,1.06,4.5,1.1,,
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Corretja A.,Gambill J.M.,97.0,86.0,6.0,1.0,4.0,6.0,6,3.0,6.0,2.0,,,3.0,1.0,Completed,1.25,3.75,1.22,4.15,1.17,4.67,1.2,3.3,1.267,4.2
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Verdasco F.,Rusedski G.,53.0,103.0,7.0,6.0,6.0,0.0,6,0.0,,,,,3.0,0.0,Completed,1.071,7.5,1.05,8.5,1.04,9.25,1.05,5.0,1.063,13.25
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Burgsmuller L.,Mahut N.,91.0,107.0,7.0,5.0,6.0,3.0,3,6.0,6.0,1.0,,,3.0,1.0,Completed,1.667,2.1,1.62,2.25,1.65,2.15,1.7,1.8,1.617,2.42
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Youzhny M.,van Scheppingen D.,38.0,88.0,6.0,0.0,6.0,4.0,6,2.0,,,,,3.0,0.0,Completed,1.143,5.0,1.1,6.5,1.1,6.25,1.1,4.5,1.125,7.25
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Jeanpierre J.,Beck K.,181.0,87.0,6.0,2.0,6.0,4.0,7,5.0,,,,,3.0,0.0,Completed,2.25,1.57,2.4,1.53,1.45,2.6,1.45,2.2,,
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Blanco G.,Portas A.,95.0,113.0,7.0,5.0,7.0,5.0,3,6.0,6.0,4.0,,,3.0,1.0,Completed,2.2,1.615,2.3,1.6,2.3,1.6,2.0,1.55,2.59,1.559
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Vicente F.,Gicquel M.,148.0,270.0,3.0,6.0,7.0,6.0,6,4.0,6.0,2.0,,,3.0,1.0,Completed,,,1.9,1.85,1.87,1.87,1.85,1.65,,
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Mutis O.,Ginepri R.,125.0,39.0,6.0,4.0,6.0,4.0,6,0.0,,,,,3.0,0.0,Completed,2.2,1.615,2.1,1.68,2.15,1.65,2.1,1.5,2.1,1.769
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Mayer F.,Gonzalez F.,75.0,16.0,6.0,7.0,6.0,1.0,6,0.0,7.0,6.0,,,3.0,1.0,Completed,4.333,1.2,4.4,1.2,4.67,1.17,3.0,1.25,5.15,1.194
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Pavel A.,Hernandez O.,22.0,81.0,6.0,2.0,,,,,,,,,1.0,0.0,Retired,1.143,5.0,1.12,6.0,1.11,5.84,1.1,4.5,1.157,5.85
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Ancic M.,Sargsian S.,73.0,45.0,7.0,6.0,4.0,6.0,6,4.0,6.0,4.0,,,3.0,1.0,Completed,1.833,1.833,,,1.8,1.95,1.75,1.75,1.806,2.04
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Llodra M.,Popp A.,94.0,84.0,4.0,6.0,6.0,3.0,6,4.0,6.0,2.0,,,3.0,1.0,Completed,1.4,2.75,1.35,3.0,1.32,3.22,1.3,2.7,1.417,3.05
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Roddick A.,Martin T.,2.0,63.0,7.0,6.0,6.0,4.0,7,5.0,,,,,3.0,0.0,Completed,1.167,4.5,1.16,5.0,1.17,4.67,1.2,3.3,1.22,4.75
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Escude N.,Arthurs W.,76.0,89.0,7.0,6.0,6.0,2.0,6,2.0,,,,,3.0,0.0,Completed,1.727,2.0,1.74,2.04,1.7,2.05,1.6,1.9,1.662,2.31
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Voltchkov V.,Stepanek R.,171.0,61.0,6.0,3.0,2.0,6.0,3,6.0,6.0,3.0,11.0,9.0,3.0,2.0,Completed,3.0,1.364,2.85,1.4,2.85,1.4,2.2,1.45,3.25,1.377
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Garcia-Lopez G.,Reid T.,183.0,127.0,4.0,6.0,6.0,1.0,6,2.0,6.0,2.0,,,3.0,1.0,Completed,1.364,3.0,1.38,2.9,1.3,3.35,1.3,2.7,1.294,3.9
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Robredo T.,Martin A.,17.0,60.0,6.0,3.0,6.0,3.0,6,2.0,,,,,3.0,0.0,Completed,1.333,3.25,1.4,2.85,1.4,2.85,1.3,2.7,1.351,3.4
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Horna L.,Philippoussis M.,41.0,18.0,6.0,1.0,7.0,6.0,6,3.0,,,,,3.0,0.0,Completed,1.533,2.375,1.48,2.6,1.45,2.6,1.5,2.1,1.465,2.87
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Sluiter R.,Mello R.,82.0,149.0,7.0,5.0,6.0,1.0,3,6.0,6.0,1.0,,,3.0,1.0,Completed,2.0,1.727,2.1,1.7,2.1,1.7,1.75,1.75,2.18,1.725
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Zabaleta M.,Robert S.,32.0,170.0,7.0,6.0,6.0,3.0,6,2.0,,,,,3.0,0.0,Completed,1.111,6.0,1.16,5.0,1.15,5.2,1.15,3.8,1.182,5.25
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Hrbaty D.,Ulihrach B.,24.0,117.0,6.0,1.0,3.0,1.0,,,,,,,1.0,0.0,Retired,1.222,4.0,1.2,4.4,1.15,5.2,1.2,3.3,1.174,5.25
ATP,2004,30,Paris,French Open,2004-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Massu N.,Tipsarevic J.,11.0,147.0,3.0,6.0,6.0,1.0,6,4.0,7.0,6.0,,,3.0,1.0,Completed,,,1.18,4.5,1.23,3.89,1.15,3.8,,
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Enqvist T.,Carlsen K.,65.0,105.0,6.0,2.0,6.0,3.0,6,4.0,,,,,3.0,0.0,Completed,1.364,3.0,1.28,3.5,1.26,3.59,1.35,2.5,1.299,3.8
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Kiefer N.,Ascione T.,34.0,85.0,6.0,3.0,6.0,2.0,6,2.0,,,,,3.0,0.0,Completed,1.727,2.0,1.8,1.95,1.8,1.95,1.7,1.8,1.855,1.971
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Starace P.,Tursunov D.,202.0,69.0,6.0,2.0,6.0,3.0,6,4.0,,,,,3.0,0.0,Completed,1.57,2.25,1.55,2.35,1.55,2.35,1.5,2.1,1.621,2.41
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Hanescu V.,Lisnard J.R.,66.0,132.0,7.0,5.0,6.0,2.0,6,4.0,,,,,3.0,0.0,Completed,1.25,3.75,1.25,3.8,1.25,3.75,1.25,3.0,1.308,3.75
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Vliegen K.,1.0,110.0,6.0,1.0,6.0,2.0,6,1.0,,,,,3.0,0.0,Completed,1.02,11.0,1.03,10.0,1.03,10.5,1.03,6.0,1.033,21.0
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Verkerk M.,Boutter J.,19.0,492.0,7.0,5.0,6.0,3.0,6,1.0,,,,,3.0,0.0,Completed,1.143,5.0,1.17,4.65,1.17,4.67,1.15,3.8,1.215,4.85
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Elsner D.,Peya A.,161.0,128.0,6.0,1.0,7.0,6.0,6,2.0,,,,,3.0,0.0,Completed,2.1,1.667,1.9,1.83,1.87,1.87,1.75,1.75,1.909,1.909
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Grosjean S.,Kim K.,10.0,208.0,6.0,1.0,6.0,1.0,6,4.0,,,,,3.0,0.0,Completed,1.083,7.0,1.12,5.75,1.1,6.75,1.15,3.8,1.105,8.0
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Malisse X.,Schuettler R.,54.0,7.0,6.0,4.0,7.0,5.0,6,4.0,,,,,3.0,0.0,Completed,2.75,1.4,3.0,1.37,3.1,1.35,3.0,1.25,2.95,1.444
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Bjorkman J.,Dent T.,26.0,35.0,6.0,3.0,2.0,6.0,6,3.0,3.0,6.0,6.0,2.0,3.0,2.0,Completed,1.615,2.2,1.5,2.5,1.5,2.45,1.5,2.1,1.552,2.61
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Ljubicic I.,Arazi H.,27.0,37.0,6.0,7.0,6.0,4.0,6,7.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.444,2.625,1.53,2.45,1.45,2.6,1.5,2.1,1.538,2.66
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Koubek S.,Sanchez D.,96.0,55.0,6.0,3.0,7.0,5.0,3,6.0,6.0,7.0,6.0,0.0,3.0,2.0,Completed,3.75,1.25,4.65,1.18,3.89,1.23,3.8,1.15,4.55,1.235
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Ferrer D.,Rochus O.,52.0,70.0,6.0,1.0,6.0,1.0,6,3.0,,,,,3.0,0.0,Completed,1.5,2.5,1.53,2.45,1.4,2.85,1.45,2.2,1.526,2.7
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Benneteau J.,Mirnyi M.,92.0,31.0,7.0,5.0,7.0,5.0,1,6.0,6.0,3.0,,,3.0,1.0,Completed,2.375,1.533,2.2,1.65,2.12,1.67,2.3,1.4,2.25,1.69
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Santoro F.,Clement A.,58.0,33.0,6.0,4.0,6.0,3.0,6,7.0,3.0,6.0,16.0,14.0,3.0,2.0,Completed,2.2,1.615,2.1,1.68,2.15,1.65,1.9,1.6,2.13,1.752
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Mantilla F.,Salzenstein J.,93.0,102.0,6.0,4.0,6.0,1.0,6,7.0,6.0,2.0,,,3.0,1.0,Completed,1.111,6.0,1.12,5.5,1.1,5.85,1.1,4.5,1.143,6.35
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Novak J.,Dupuis A.,14.0,83.0,6.0,4.0,6.0,4.0,6,7.0,6.0,3.0,,,3.0,1.0,Completed,1.143,5.0,1.13,5.65,1.17,4.67,1.1,4.5,1.143,6.35
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Falla A.,Pless K.,146.0,846.0,6.0,2.0,4.0,6.0,6,1.0,6.0,2.0,,,3.0,1.0,Completed,1.14,5.0,1.13,5.5,1.13,5.5,1.1,4.5,1.174,5.25
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Safin M.,Calleri A.,20.0,42.0,5.0,7.0,6.0,1.0,4,1.0,,,,,1.0,1.0,Retired,1.4,2.75,1.5,2.55,1.45,2.6,1.45,2.2,1.465,2.85
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Lee H.T.,Soderling R.,123.0,46.0,0.0,6.0,3.0,6.0,6,3.0,6.0,4.0,7.0,5.0,3.0,2.0,Completed,,,2.3,1.57,2.6,1.45,2.1,1.5,,
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Costa A.,Saretta F.,29.0,56.0,6.0,2.0,6.0,2.0,6,7.0,6.0,4.0,,,3.0,1.0,Completed,1.4,2.75,1.35,3.1,1.45,2.6,1.35,2.5,1.408,3.1
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Kucera K.,Karlovic I.,71.0,59.0,7.0,6.0,6.0,4.0,6,4.0,,,,,3.0,0.0,Completed,2.25,1.571,2.35,1.57,2.35,1.55,1.9,1.6,2.46,1.602
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Lopez F.,Lapentti N.,25.0,62.0,5.0,7.0,6.0,4.0,6,4.0,6.0,4.0,,,3.0,1.0,Completed,1.727,2.0,1.8,1.95,1.87,1.87,1.65,1.85,1.855,1.971
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Nalbandian D.,Gasquet R.,8.0,106.0,6.0,4.0,7.0,5.0,7,6.0,,,,,3.0,0.0,Completed,1.1,6.0,1.16,5.0,1.11,5.84,1.15,3.8,1.167,5.5
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Rochus C.,Lopez M.,112.0,111.0,6.0,4.0,6.0,1.0,6,1.0,,,,,3.0,0.0,Completed,1.833,1.833,1.95,1.8,1.95,1.8,2.0,1.55,2.05,1.8
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Ferrero J.C.,Haas T.,4.0,115.0,3.0,6.0,6.0,4.0,6,4.0,6.0,2.0,,,3.0,1.0,Completed,1.364,3.0,,,,,1.4,2.3,1.649,2.34
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Hewitt L.,di Pasquale A.,12.0,397.0,6.0,0.0,7.0,6.0,4,6.0,6.0,1.0,,,3.0,1.0,Completed,1.125,5.5,1.14,5.4,1.2,4.25,1.1,4.5,1.167,5.5
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Kuerten G.,Almagro N.,30.0,130.0,7.0,5.0,7.0,6.0,1,6.0,3.0,6.0,7.0,5.0,3.0,2.0,Completed,1.4,2.75,1.42,2.75,1.4,2.85,1.4,2.3,1.5,2.77
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Melzer J.,Ferreira W.,51.0,68.0,6.0,7.0,6.0,2.0,6,4.0,6.0,3.0,,,3.0,1.0,Completed,1.286,3.5,1.22,4.1,1.25,3.75,1.3,2.7,1.282,4.0
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Patience O.,Volandri F.,99.0,47.0,6.0,3.0,7.0,6.0,6,0.0,,,,,3.0,0.0,Completed,3.75,1.25,3.85,1.25,4.25,1.2,3.3,1.2,4.25,1.26
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Elseneer G.,Ramirez-Hidalgo R.,100.0,80.0,3.0,6.0,7.0,5.0,4,6.0,6.0,4.0,6.0,3.0,3.0,2.0,Completed,4.333,1.2,4.6,1.18,3.98,1.22,3.3,1.2,5.0,1.2
ATP,2004,30,Paris,French Open,2004-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Andreev I.,Vacek J.,77.0,108.0,6.0,3.0,6.0,1.0,6,4.0,,,,,3.0,0.0,Completed,1.333,3.25,1.3,3.4,1.3,3.35,1.25,3.0,1.299,3.85
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Gaudio G.,Canas G.,44.0,72.0,6.0,2.0,2.0,6.0,4,6.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.571,2.25,1.6,2.3,1.55,2.35,1.5,2.1,1.588,2.5
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Coria G.,Monaco J.,3.0,143.0,7.0,5.0,6.0,1.0,6,3.0,,,,,3.0,0.0,Completed,1.04,9.0,1.06,8.0,1.05,7.75,1.05,5.0,1.05,15.25
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Chela J.I.,Verdasco F.,23.0,53.0,7.0,5.0,6.0,2.0,6,2.0,,,,,3.0,0.0,Completed,2.1,1.667,2.05,1.75,2.0,1.75,1.75,1.75,2.1,1.769
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Blanco G.,Horna L.,95.0,41.0,2.0,6.0,6.0,4.0,1,6.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,4.5,1.167,5.0,1.16,4.25,1.2,4.5,1.1,4.85,1.211
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Corretja A.,Srichaphan P.,97.0,13.0,6.0,4.0,7.0,5.0,6,3.0,,,,,3.0,0.0,Completed,1.286,3.5,1.35,3.1,1.28,3.46,1.3,2.7,1.4,3.15
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Ancic M.,Zabaleta M.,73.0,32.0,6.0,3.0,6.0,4.0,3,6.0,6.0,4.0,,,3.0,1.0,Completed,3.25,1.333,3.2,1.33,3.35,1.3,2.7,1.3,3.25,1.385
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Moya C.,Vicente F.,5.0,148.0,6.0,1.0,6.0,2.0,6,1.0,,,,,3.0,0.0,Completed,1.04,9.0,1.06,8.5,1.05,7.75,1.03,6.0,1.05,15.25
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Escude N.,Mayer F.,76.0,75.0,6.0,4.0,6.0,3.0,6,4.0,,,,,3.0,0.0,Completed,2.5,1.5,2.7,1.45,2.75,1.42,2.3,1.4,2.75,1.5
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Sluiter R.,Hrbaty D.,82.0,24.0,6.0,4.0,6.0,4.0,3,6.0,7.0,6.0,,,3.0,1.0,Completed,3.75,1.25,3.15,1.33,3.75,1.25,2.3,1.4,3.5,1.345
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Henman T.,Burgsmuller L.,9.0,91.0,6.0,0.0,6.0,3.0,6,3.0,,,,,3.0,0.0,Completed,1.25,3.75,1.32,3.2,1.28,3.46,1.25,3.0,1.345,3.45
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Jeanpierre J.,Spadea V.,181.0,28.0,6.0,4.0,6.0,2.0,7,5.0,,,,,3.0,0.0,Completed,2.75,1.4,2.6,1.48,2.45,1.5,2.2,1.45,2.82,1.476
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Robredo T.,Garcia-Lopez G.,17.0,183.0,6.0,4.0,3.0,6.0,7,5.0,6.0,4.0,,,3.0,1.0,Completed,1.125,5.5,1.12,6.0,1.1,6.25,1.15,3.8,1.143,6.25
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Massu N.,Voltchkov V.,11.0,171.0,6.0,3.0,6.0,1.0,6,0.0,,,,,3.0,0.0,Completed,1.167,4.5,1.13,5.65,1.13,5.5,1.1,4.5,1.154,6.0
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Santoro F.,Labadze I.,58.0,50.0,6.0,4.0,3.0,6.0,2,6.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,2.2,1.615,,,2.15,1.65,1.85,1.65,2.23,1.699
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Youzhny M.,Pavel A.,38.0,22.0,6.0,7.0,7.0,6.0,1,6.0,7.0,6.0,6.0,2.0,3.0,2.0,Completed,2.375,1.533,2.2,1.65,2.3,1.6,1.9,1.6,2.42,1.617
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Mutis O.,Roddick A.,125.0,2.0,3.0,6.0,6.0,3.0,6,7.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,6.5,1.1,5.65,1.13,5.84,1.11,3.8,1.15,5.5,1.167
ATP,2004,30,Paris,French Open,2004-05-26,Grand Slam,Outdoor,Clay,2nd Round,5,Llodra M.,Haehnel J.,94.0,271.0,6.0,3.0,6.0,2.0,3,6.0,6.0,1.0,,,3.0,1.0,Completed,1.61,2.2,1.65,2.2,1.7,2.1,1.75,1.75,,
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Costa A.,Rochus C.,29.0,112.0,6.0,1.0,6.0,2.0,7,5.0,,,,,3.0,0.0,Completed,1.222,4.0,1.28,3.55,1.3,3.35,1.3,2.7,1.323,3.6
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Lopez F.,Kucera K.,25.0,71.0,6.0,7.0,6.0,3.0,6,4.0,6.0,4.0,,,3.0,1.0,Completed,1.571,2.25,1.65,2.2,1.55,2.35,1.5,2.1,1.676,2.31
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Hewitt L.,Melzer J.,12.0,51.0,6.0,4.0,6.0,4.0,4,6.0,6.0,2.0,,,3.0,1.0,Completed,1.333,3.25,1.3,3.35,1.28,3.46,1.2,3.3,1.357,3.4
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Lee H.T.,Patience O.,123.0,99.0,6.0,4.0,6.0,4.0,6,3.0,,,,,3.0,0.0,Completed,3.5,1.286,3.75,1.25,3.35,1.3,3.0,1.25,3.75,1.308
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Federer R.,Kiefer N.,1.0,34.0,6.0,3.0,6.0,4.0,7,6.0,,,,,3.0,0.0,Completed,1.05,9.0,1.06,8.5,1.05,7.75,1.03,6.0,1.05,15.5
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Malisse X.,Elsner D.,54.0,161.0,6.0,3.0,4.0,0.0,,,,,,,1.0,0.0,Retired,1.286,3.5,1.36,3.1,1.37,2.92,1.35,2.5,1.4,3.2
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Benneteau J.,Ferrer D.,92.0,52.0,6.0,3.0,1.0,6.0,6,2.0,7.0,5.0,,,3.0,1.0,Completed,3.25,1.333,3.2,1.33,3.1,1.35,3.0,1.25,3.12,1.413
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Verkerk M.,Hanescu V.,19.0,66.0,4.0,6.0,6.0,3.0,3,6.0,6.0,0.0,3.0,0.0,2.0,2.0,Retired,1.571,2.25,1.57,2.35,1.6,2.3,1.5,2.1,1.617,2.44
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Kuerten G.,Elseneer G.,30.0,100.0,6.0,2.0,6.0,0.0,6,3.0,,,,,3.0,0.0,Completed,1.143,5.0,1.13,5.65,1.15,5.2,1.05,5.0,1.154,6.0
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Koubek S.,Ljubicic I.,96.0,27.0,6.0,0.0,1.0,6.0,6,4.0,6.0,2.0,,,3.0,1.0,Completed,3.25,1.333,3.35,1.31,3.1,1.35,2.7,1.3,3.45,1.345
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Starace P.,Grosjean S.,202.0,10.0,7.0,6.0,6.0,3.0,6,4.0,,,,,3.0,0.0,Completed,4.5,1.16,4.4,1.2,4.67,1.17,3.8,1.15,4.85,1.211
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Gaudio G.,Novak J.,44.0,14.0,2.0,6.0,6.0,4.0,6,4.0,5.0,7.0,6.0,3.0,3.0,2.0,Completed,1.5,2.5,1.53,2.45,1.5,2.45,1.35,2.5,1.513,2.72
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Andreev I.,Ferrero J.C.,77.0,4.0,6.0,4.0,6.0,2.0,6,3.0,,,,,3.0,0.0,Completed,5.0,1.143,5.0,1.14,5.2,1.15,3.8,1.15,5.5,1.174
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Nalbandian D.,Falla A.,8.0,146.0,5.0,7.0,6.0,0.0,6,2.0,6.0,0.0,,,3.0,1.0,Completed,1.07,7.5,1.08,7.25,1.1,6.75,1.1,4.5,1.077,10.5
ATP,2004,30,Paris,French Open,2004-05-27,Grand Slam,Outdoor,Clay,2nd Round,5,Enqvist T.,Bjorkman J.,65.0,26.0,6.0,3.0,3.0,6.0,7,6.0,6.0,3.0,,,3.0,1.0,Completed,1.8,1.909,1.77,2.0,1.67,2.12,1.6,1.9,1.758,2.16
ATP,2004,30,Paris,French Open,2004-05-28,Grand Slam,Outdoor,Clay,2nd Round,5,Safin M.,Mantilla F.,20.0,93.0,6.0,4.0,2.0,6.0,6,2.0,6.0,7.0,11.0,9.0,3.0,2.0,Completed,1.286,3.5,1.36,3.0,1.37,2.92,1.35,2.5,1.328,3.6
ATP,2004,30,Paris,French Open,2004-05-28,Grand Slam,Outdoor,Clay,3rd Round,5,Chela J.I.,Corretja A.,23.0,97.0,6.0,4.0,6.0,4.0,4,6.0,6.0,3.0,,,3.0,1.0,Completed,1.333,3.25,1.3,3.4,1.3,3.35,1.25,3.0,1.323,3.6
ATP,2004,30,Paris,French Open,2004-05-28,Grand Slam,Outdoor,Clay,3rd Round,5,Escude N.,Youzhny M.,76.0,38.0,6.0,2.0,7.0,5.0,6,7.0,6.0,2.0,,,3.0,1.0,Completed,2.2,1.615,2.5,1.5,2.35,1.55,1.85,1.65,2.35,1.654
