Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Begu I.,Makarova E.,40.0,31.0,1303.0,1605.0,3.0,6.0,6.0,4.0,8.0,6.0,2.0,1.0,Completed,3.25,1.36,2.85,1.37,3.4,1.33,3.18,1.41,3.3,1.41,3.1,1.37
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Cornet A.,Wang X.,42.0,641.0,1215.0,34.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.16,5.0,1.16,4.6,1.14,5.5,1.2,5.23,1.22,5.5,1.17,4.95
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Goerges J.,Kenin S.,12.0,102.0,2825.0,639.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.14,5.5,1.12,5.4,1.14,5.5,1.14,6.83,1.17,6.92,1.13,5.97
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Zhang S.,Stephens S.,34.0,13.0,1535.0,2803.0,2.0,6.0,7.0,6.0,6.0,2.0,2.0,1.0,Completed,1.5,2.62,1.5,2.4,1.5,2.62,1.6,2.5,1.61,2.8,1.52,2.54
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Rybarikova M.,Townsend T.,21.0,89.0,2141.0,716.0,6.0,0.0,7.0,5.0,,,2.0,0.0,Completed,1.8,2.0,1.75,1.95,1.67,2.2,1.8,2.13,1.84,2.2,1.77,2.04
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Duan Y.Y.,Duque-Marino M.,100.0,109.0,643.0,597.0,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,1.28,3.75,1.25,3.6,1.4,3.0,1.34,3.56,1.34,4.5,1.27,3.78
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Flipkens K.,Riske A.,75.0,84.0,836.0,755.0,2.0,6.0,7.0,6.0,6.0,3.0,2.0,1.0,Completed,2.62,1.5,2.5,1.47,2.5,1.53,2.65,1.55,2.74,1.55,2.59,1.5
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Barthel M.,Niculescu M.,53.0,99.0,1068.0,653.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,3.0,1.4,2.75,1.4,3.0,1.4,2.93,1.47,3.0,1.48,2.81,1.43
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Ostapenko J.,Schiavone F.,7.0,93.0,4901.0,708.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.08,8.0,1.08,6.5,1.08,7.5,1.11,8.36,1.11,8.5,1.09,7.34
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Martic P.,Van Uytvanck A.,81.0,77.0,762.0,814.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,2.0,1.8,1.95,1.75,2.0,1.8,2.07,1.85,2.1,1.86,2.01,1.8
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Kanepi K.,Cibulkova D.,79.0,26.0,782.0,1860.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.9,1.9,1.85,1.85,1.91,1.91,1.97,1.93,1.97,2.0,1.88,1.92
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Babos T.,Vandeweghe C.,51.0,9.0,1091.0,3204.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,3.25,1.36,3.1,1.32,3.25,1.36,3.64,1.33,3.64,1.37,3.35,1.33
WTA,2018,6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Bertens K.,Bellis C.,32.0,49.0,1605.0,1100.0,6.0,7.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,2.5,1.53,2.4,1.5,2.5,1.53,2.64,1.55,2.64,1.57,2.51,1.53
