Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Goerges J.,Bencic B.,73,34.0,740,1391.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.8,1.9,1.9,1.8,1.91,1.91,1.93,1.97,1.96,1.99,1.88,1.89
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Halep S.,Knapp K.,3,50.0,6571,1015.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.06,9.0,1.08,7.0,1.07,8.5,1.07,10.83,1.09,10.83,1.07,8.45
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Peng S.,Maria T.,22,163.0,1880,325.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.36,3.0,1.38,3.0,1.36,3.0,1.42,3.11,1.42,3.35,1.36,3.04
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Koukalova K.,Sanders S.,46,454.0,1090,60.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.36,3.0,1.4,2.9,1.4,2.75,1.39,3.27,1.44,3.27,1.38,2.98
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Rybarikova M.,Konjuh A.,47,95.0,1046,609.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.1,1.66,2.25,1.62,2.2,1.62,2.16,1.78,2.45,1.78,2.2,1.65
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Gajdosova J.,Dulgheru A.,62,87.0,865,655.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.28,3.5,1.35,3.1,1.3,3.5,1.42,3.14,1.42,3.5,1.34,3.18
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Arruabarrena L.,Voracova R.,91,172.0,625,309.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,2.37,1.53,2.25,1.62,2.1,1.67,2.31,1.69,2.37,1.69,2.25,1.62
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Garcia C.,Kuznetsova S.,36,27.0,1341,1730.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,2.75,1.4,2.6,1.45,2.5,1.5,2.8,1.5,2.8,1.53,2.57,1.49
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Mladenovic K.,Lisicki S.,71,28.0,755,1681.0,4.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,3.5,1.28,3.2,1.33,3.25,1.36,3.6,1.34,3.7,1.36,3.35,1.31
WTA,2015,6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Schmiedlova A.,Scheepers C.,74,83.0,727,677.0,6.0,4.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.72,2.0,1.82,1.9,1.83,1.83,1.85,2.07,1.95,2.07,1.83,1.93
