Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Johnson S.,11.0,175.0,2515.0,302.0,7.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,1.14,5.5,1.13,5.75,1.11,6.0,1.19,5.54,1.13,6.0,1.19,7.9,1.14,5.49
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Hanescu V.,18.0,63.0,1870.0,753.0,6.0,7.0,6.0,3.0,6.0,1.0,6.0,3.0,,,3.0,1.0,Completed,1.07,9.0,1.07,8.0,1.08,7.0,1.09,9.5,1.1,7.0,1.1,10.5,1.08,7.79
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rufin G.,Reister J.,92.0,296.0,574.0,153.0,4.0,6.0,7.0,6.0,6.0,1.0,6.0,2.0,,,3.0,1.0,Completed,2.25,1.57,2.4,1.55,2.25,1.57,2.3,1.69,2.5,1.53,2.5,1.69,2.28,1.6
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Berlocq C.,Authom M.,68.0,156.0,720.0,351.0,1.0,6.0,7.0,6.0,7.0,6.0,6.0,2.0,,,3.0,1.0,Completed,2.2,1.61,2.12,1.7,2.2,1.62,2.3,1.69,2.2,1.67,2.3,1.75,2.15,1.67
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Dimitrov G.,38.0,41.0,1015.0,1008.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,2.5,1.5,2.4,1.55,2.38,1.53,2.51,1.6,2.5,1.5,2.88,1.63,2.41,1.55
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Gimeno-Traver D.,Kubot L.,71.0,76.0,704.0,675.0,6.0,7.0,6.0,4.0,6.0,0.0,4.0,6.0,6.0,4.0,3.0,2.0,Completed,3.25,1.33,3.15,1.35,3.4,1.3,3.97,1.29,2.75,1.44,3.97,1.44,3.25,1.33
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Roger-Vasselin E.,Bemelmans R.,101.0,114.0,539.0,486.0,6.0,3.0,6.0,7.0,2.0,6.0,7.0,5.0,11.0,9.0,3.0,2.0,Completed,2.2,1.61,2.05,1.75,2.0,1.73,2.11,1.81,2.0,1.8,2.38,1.81,2.07,1.72
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Andujar P.,55.0,45.0,791.0,915.0,6.0,3.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.16,5.0,1.18,4.75,1.2,4.33,1.21,5.08,1.2,4.33,1.23,5.08,1.18,4.59
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Goffin D.,24.0,49.0,1445.0,843.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.61,2.2,1.65,2.2,1.62,2.25,1.72,2.25,1.57,2.38,1.8,2.38,1.66,2.19
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Stebe C.M.,17.0,164.0,1900.0,327.0,6.0,2.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.12,6.0,1.16,5.0,1.12,5.5,1.17,5.98,1.13,6.0,1.17,7.1,1.13,5.67
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Giraldo S.,62.0,64.0,754.0,743.0,2.0,6.0,6.0,4.0,7.0,5.0,6.0,4.0,,,3.0,1.0,Completed,1.72,2.0,1.78,2.01,1.67,2.1,1.81,2.1,1.8,2.0,1.91,2.12,1.77,2.0
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Ungur A.,82.0,99.0,637.0,557.0,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.3,3.4,1.35,3.15,1.36,3.0,1.27,4.22,1.36,3.0,1.4,4.4,1.32,3.31
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Russell M.,6.0,94.0,4680.0,569.0,6.0,3.0,7.0,5.0,6.0,3.0,,,,,3.0,0.0,Completed,1.03,15.0,1.03,12.0,1.04,10.0,1.04,16.0,1.05,9.0,1.05,19.0,1.03,12.31
ATP,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Mathieu P.H.,1.0,60.0,12920.0,763.0,6.0,2.0,6.0,4.0,7.0,5.0,,,,,3.0,0.0,Completed,1.002,29.0,1.02,15.0,1.02,13.0,1.01,41.0,1.01,19.0,1.02,46.0,1.01,21.7
