Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Vickery S.,Bonaventure Y.,123.0,159.0,483.0,368.0,2.0,6.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,3.0,1.4,2.87,1.47,3.1,1.47,2.91,1.42
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Boulter K.,Makarova E.,97.0,60.0,628.0,918.0,6.0,0.0,4.0,6.0,7.0,6.0,2.0,1.0,Completed,2.1,1.72,2.16,1.77,2.21,1.82,2.14,1.72
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Peterson R.,Cirstea S.,64.0,84.0,900.0,730.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,2.5,1.53,2.72,1.51,2.88,1.55,2.69,1.48
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Collins D.,Goerges J.,35.0,13.0,1322.0,3055.0,2.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,4.33,1.22,4.21,1.26,4.36,1.29,4.0,1.25
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Sabalenka A.,Kalinskaya A.,11.0,146.0,3365.0,403.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.2,4.5,1.12,7.27,1.22,7.4,1.17,5.22
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Garcia C.,Ponchet J.,19.0,250.0,2660.0,222.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.2,4.5,1.23,4.69,1.23,5.5,1.2,4.65
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Sharma A.,Hon P.,232.0,140.0,249.0,431.0,7.0,5.0,4.0,6.0,6.0,1.0,2.0,1.0,Completed,2.1,1.72,2.14,1.78,2.15,1.84,2.09,1.75
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Vekic D.,Mladenovic K.,29.0,45.0,1580.0,1155.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.3,3.5,1.29,3.89,1.36,3.89,1.31,3.54
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Vondrousova M.,Rodina E.,72.0,69.0,806.0,826.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.5,2.62,1.58,2.51,1.58,3.2,1.5,2.62
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Martic P.,Watson H.,32.0,108.0,1465.0,538.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.44,2.75,1.42,3.09,1.46,3.09,1.43,2.87
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Sharapova M.,Dart H.,30.0,131.0,1552.0,464.0,6.0,0.0,6.0,0.0,,,2.0,0.0,Completed,1.3,3.5,1.27,4.1,1.32,4.1,1.28,3.8
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Hives Z.,Mattek-Sands B.,225.0,348.0,260.0,111.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.72,2.1,1.75,2.19,1.77,2.25,1.72,2.15
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Tsurenko L.,Alexandrova E.,24.0,74.0,1896.0,803.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.5,2.62,1.48,2.84,1.51,3.0,1.46,2.73
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Birrell K.,Badosa Gibert P.,240.0,141.0,236.0,428.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,2.2,1.66,2.19,1.75,2.25,1.75,2.19,1.69
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Haddad Maia B.,Pera B.,195.0,68.0,299.0,829.0,6.0,3.0,5.0,7.0,6.0,4.0,2.0,1.0,Completed,1.57,2.37,1.63,2.4,1.63,2.56,1.58,2.39
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Stephens S.,Townsend T.,5.0,93.0,5077.0,644.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.16,5.0,1.23,4.68,1.25,5.1,1.21,4.53
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Puig M.,44.0,54.0,1160.0,1033.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.66,2.2,1.74,2.2,1.75,2.25,1.7,2.17
WTA,2019,6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Anisimova A.,Niculescu M.,87.0,99.0,695.0,617.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.72,2.1,1.81,2.09,1.87,2.3,1.74,2.12
